property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8080814a078fd2014a15c813ff0b03,BHK3,20-02-2017 09:24,3,2,6.0,SEMI_FURNISHED,1,12.87245588,77.6175785,ANYONE,1,Akshayanagar,BOTH,2,2000,0,560068.0,22000,150000,AP
ff8081814c2dea94014c50865ea35904,BHK2,11-03-2017 16:12,2,0,2.0,SEMI_FURNISHED,0,12.87600923,77.61793427,ANYONE,0,Akshayanagar,BOTH,5,1250,0,560076.0,12500,125000,IF
ff8081814cff7251014d04e2cc7018fd,BHK2,18-03-2017 14:26,2,2,19.0,SEMI_FURNISHED,1,12.87592294,77.61794634,FAMILY,1,Akshayanagar,BOTH,2,1279,1,560068.0,17500,175000,AP
ff8081814eb65997014ebbaa22f11869,BHK2,28-03-2017 11:09,2,3,5.0,SEMI_FURNISHED,1,12.8594383,77.614948,ANYONE,1,Akshayanagar,BOTH,1,1200,0,560076.0,15000,100000,AP
ff8081814fa8748d014fabcabea10bb6,BHK3,14-02-2017 17:07,2,1,3.0,SEMI_FURNISHED,0,12.87569665,77.61718676,ANYONE,1,Akshayanagar,BOTH,1,1550,0,560076.0,18000,100000,AP
ff808181507a77c701507a951e3a023f,BHK2,10-03-2017 20:06,2,0,1.0,SEMI_FURNISHED,0,12.87467633,77.61645551,FAMILY,0,Akshayanagar,TWO_WHEELER,5,1200,0,560076.0,12000,120000,IF
ff8081815098be8701509b84ff222065,BHK2,03-02-2017 12:48,2,3,3.0,SEMI_FURNISHED,1,12.87264513,77.61575102,FAMILY,1,Akshayanagar,BOTH,1,1140,0,560068.0,13500,135000,AP
ff80818150dc3d890150e1238ff52663,BHK4,21-02-2017 13:09,5,2,3.0,SEMI_FURNISHED,1,12.8713774,77.6191736,ANYONE,1,Akshayanagar,BOTH,2,2605,1,,25000,250000,
ff808181512ecf9c01513800aef3469e,BHK4,25-02-2017 16:49,3,3,4.0,SEMI_FURNISHED,0,12.87170394,77.61591157,FAMILY,1,Akshayanagar,TWO_WHEELER,0,2100,0,560076.0,18000,180000,AP
ff80818151d611280151d7aede9b066d,BHK2,11-03-2017 16:28,2,1,2.0,SEMI_FURNISHED,0,12.87179049,77.61774163,FAMILY,0,Akshayanagar,BOTH,11,900,0,560068.0,12500,100000,IF
ff80818153d5d4430153d676cac811d2,BHK3,17-03-2017 09:19,2,14,20.0,SEMI_FURNISHED,1,12.87592425,77.61789806,ANYONE,1,Akshayanagar,BOTH,0,1421,1,560076.0,21000,160000,AP
ff80818154392e760154431735b601d9,BHK3,12-03-2017 13:01,3,7,17.0,SEMI_FURNISHED,1,12.87570253,77.61730679,FAMILY,1,Akshayanagar,BOTH,0,1670,1,560076.0,25000,250000,AP
ff8081815549cbc001554cbf1cb81841,BHK3,16-02-2017 19:35,3,9,27.0,SEMI_FURNISHED,1,12.87553624,77.61272888,ANYONE,1,Akshayanagar,BOTH,0,1476,1,560076.0,25000,250000,AP
ff808181557deb1c0155812764a82c17,BHK3,21-03-2017 13:07,3,0,1.0,SEMI_FURNISHED,1,12.86990603,77.61772639,ANYONE,0,Akshayanagar,BOTH,2,2550,1,560076.0,25000,250000,IH
ff808181559b4bf601559b54d7f3007b,BHK2,28-02-2017 16:54,1,1,3.0,SEMI_FURNISHED,0,12.87309176,77.61312205,FAMILY,0,Akshayanagar,TWO_WHEELER,3,700,0,560076.0,8500,85000,IF
ff80818155da50bd0155de20e70c3daf,BHK2,10-03-2017 21:10,2,3,9.0,SEMI_FURNISHED,1,12.86237573,77.61529576,ANYONE,1,Akshayanagar,BOTH,2,1100,0,560076.0,12000,80000,AP
ff8081815685387a015687f6a3282be5,BHK2,03-03-2017 11:28,2,1,5.0,FULLY_FURNISHED,0,12.87452496,77.62036303,FAMILY,0,Akshayanagar,BOTH,2,1000,0,560068.0,15000,150000,AP
ff80818156b250810156b25f86f0030b,BHK3,23-03-2017 17:04,3,0,0.0,SEMI_FURNISHED,1,12.86812392,77.61659404,FAMILY,0,Akshayanagar,BOTH,2,1800,1,560076.0,26000,200000,IH
ff80818156b7a0970156b7bd0deb050d,BHK2,03-02-2017 14:56,2,2,4.0,SEMI_FURNISHED,0,12.87421319,77.61427127,ANYONE,1,Akshayanagar,TWO_WHEELER,0,950,0,560076.0,14000,1000000,AP
ff808181571207d101571327c218409e,BHK2,30-03-2017 12:24,2,2,3.0,SEMI_FURNISHED,1,12.87486836,77.61738189,ANYONE,1,Akshayanagar,BOTH,3,1080,0,560076.0,15000,150000,AP
ff80818157480b020157482d293d04bd,BHK3,19-02-2017 12:41,2,3,3.0,SEMI_FURNISHED,1,12.86721726,77.61772739,FAMILY,1,Akshayanagar,FOUR_WHEELER,0,1190,1,560076.0,16000,160000,AP
ff8081815752a21b015759addeab3b4a,BHK3,17-03-2017 11:58,3,0,1.0,NOT_FURNISHED,0,12.87592095,77.61781546,ANYONE,0,Akshayanagar,BOTH,10,1500,0,560076.0,23000,150000,IH
ff808181578813350157892fe3462424,BHK2,10-02-2017 10:40,2,1,3.0,SEMI_FURNISHED,0,12.87427394,77.61911849,FAMILY,0,Akshayanagar,BOTH,3,900,0,560068.0,12500,100000,IF
ff808181578813350157893268f02498,BHK1,10-02-2017 10:40,1,0,2.0,SEMI_FURNISHED,0,12.87277567,77.62084315,FAMILY,0,Akshayanagar,TWO_WHEELER,3,551,0,560068.0,10000,100000,IF
ff808181579035d101579279f00312d5,BHK3,17-02-2017 10:11,2,3,3.0,SEMI_FURNISHED,1,12.88516795,77.6198297,ANYONE,1,Akshayanagar,BOTH,0,1350,0,560076.0,16000,70000,AP
ff80818157b93f960157bd17d8c96ddc,BHK3,04-03-2017 18:35,2,4,4.0,SEMI_FURNISHED,1,12.87051514,77.61388152,ANYONE,1,Akshayanagar,BOTH,3,1400,0,560076.0,16000,150000,AP
ff80818157c88a150157c89308d100e5,BHK2,03-03-2017 11:06,2,8,18.0,SEMI_FURNISHED,1,13.02236912,77.68010252,FAMILY,1,Akshayanagar,BOTH,1,1279,0,560068.0,18000,150000,AP
