property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8080814780f30801478d14132f03f4,BHK3,23-03-2017 16:13,2,2,2.0,SEMI_FURNISHED,1,12.93655693,77.558291,ANYONE,0,Banashankari,TWO_WHEELER,8,1200,1,560050.0,17500,200000,IF
ff8081814bd62607014bd8aaa8a201e9,BHK1,06-03-2017 18:35,1,0,2.0,SEMI_FURNISHED,0,12.92869375,77.54315417,FAMILY,0,Banashankari,TWO_WHEELER,6,600,0,560085.0,8000,750000,AP
ff8081814bedb29e014bee1fad8000e0,BHK2,28-03-2017 12:10,2,2,2.0,SEMI_FURNISHED,0,12.92653163,77.5511737,FAMILY,0,Banashankari,TWO_WHEELER,1,1000,0,560085.0,12000,100000,IF
ff8081814c17ede2014c1baa66fe0546,BHK2,20-02-2017 17:35,2,0,5.0,SEMI_FURNISHED,0,12.92272864,77.54488516,FAMILY,1,Banashankari,BOTH,5,1250,0,560085.0,15000,150000,AP
ff8081814c2dea94014c3c3581a92106,BHK2,13-03-2017 12:34,3,2,2.0,SEMI_FURNISHED,0,12.92805753,77.5459038,ANYONE,0,Banashankari,BOTH,10,1200,0,560085.0,12500,125000,IF
ff8081814c2dea94014c55ad10df6583,BHK1,11-03-2017 17:27,1,3,3.0,SEMI_FURNISHED,0,12.92692225,77.55252588,FAMILY,0,Banashankari,BOTH,9,750,0,560085.0,8500,75000,AP
ff8081814ca1cc06014ca2752b3d03d7,BHK1,24-02-2017 11:15,1,3,3.0,NOT_FURNISHED,0,12.92217436,77.54411391,ANYONE,0,Banashankari,TWO_WHEELER,4,400,0,560085.0,6500,60000,IF
ff8081814cb771fb014cc20a28ee2309,BHK2,18-03-2017 14:34,2,0,2.0,SEMI_FURNISHED,0,12.92174023,77.55822449,ANYONE,0,Banashankari,BOTH,5,1100,0,560070.0,13000,130000,IF
ff8081814d17f13e014d196c485f0c7a,BHK1,28-02-2017 10:50,1,0,2.0,SEMI_FURNISHED,0,12.9254533,77.546757,FAMILY,0,Banashankari,TWO_WHEELER,10,600,0,560085.0,8500,85000,AP
ff8081814d5bcfaa014d5c1da1b60309,BHK1,09-02-2017 20:10,1,0,3.0,NOT_FURNISHED,0,12.93735678,77.55040309,ANYONE,0,Banashankari,TWO_WHEELER,10,450,0,560085.0,5500,50000,IF
ff8081814d76c9df014d7efc985c26e7,BHK2,16-03-2017 13:06,2,0,2.0,SEMI_FURNISHED,0,12.93378873,77.53609456,FAMILY,0,Banashankari,BOTH,6,1200,0,560085.0,14000,150000,IF
ff8081814de81414014decc1ea07218f,BHK2,02-03-2017 20:11,2,1,1.0,SEMI_FURNISHED,0,12.92780997,77.55592553,FAMILY,0,Banashankari,BOTH,15,800,0,560085.0,14000,140000,IF
ff8081814e322687014e38a8e9262ca5,BHK3,04-02-2017 15:20,1,0,3.0,SEMI_FURNISHED,0,12.93638886,77.54936919,FAMILY,0,Banashankari,BOTH,20,1800,0,560085.0,22000,220000,IF
ff8081814ea04efe014ea47ef0ed1cf4,BHK3,24-03-2017 12:09,2,3,4.0,SEMI_FURNISHED,0,12.92586761,77.55133464,ANYONE,1,Banashankari,BOTH,7,1300,0,560085.0,18000,200000,AP
ff8081814eb4c278014eb53dd90403c4,BHK2,17-02-2017 11:41,2,1,3.0,SEMI_FURNISHED,0,12.92641399,77.55089475,FAMILY,0,Banashankari,BOTH,4,1350,0,560085.0,17000,200000,IF
