property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff808081482565740148261980670079,BHK3,11-02-2017 10:14,3,1,1.0,SEMI_FURNISHED,1,12.94723987,77.67515766,FAMILY,1,Bellandur,BOTH,3,1617,1,560037.0,33000,150000,AP
ff80808149b8764a0149bda1f264039d,BHK2,20-02-2017 17:36,2,3,3.0,SEMI_FURNISHED,1,12.92740122,77.66361903,FAMILY,1,Bellandur,BOTH,6,1450,1,560102.0,25000,250000,AP
ff8081814cb771fb014cc73874d531f6,BHK2,10-03-2017 19:12,2,4,,SEMI_FURNISHED,1,12.92585719,77.66932633,FAMILY,1,Bellandur,BOTH,6,1100,0,,20000,100000,
ff8081814cb771fb014ccb09506b3b35,BHK1,06-03-2017 18:55,1,2,4.0,SEMI_FURNISHED,0,12.92024086,77.6686808,FAMILY,0,Bellandur,TWO_WHEELER,1,450,0,560102.0,14000,72000,AP
ff8081814cf0d662014cfedc2fcf38e6,BHK2,05-03-2017 14:30,2,4,5.0,SEMI_FURNISHED,0,12.92441457,77.67148286,ANYONE,1,Bellandur,BOTH,6,1150,0,560103.0,20000,100000,AP
ff8081814eacc4b7014ead09cd41007d,BHK3,25-02-2017 12:57,3,0,5.0,SEMI_FURNISHED,0,12.92456787,77.66680544,ANYONE,1,Bellandur,BOTH,0,1690,0,560103.0,28000,200000,AP
ff8081814f3a5d61014f3b6ffb7b082d,BHK3,23-03-2017 14:56,3,4,4.0,FULLY_FURNISHED,0,12.9341842,77.6865041,FAMILY,0,Bellandur,BOTH,2,2238,0,560103.0,35000,350000,AP
ff80818150406cdf015041d70d7f0f18,BHK2,22-03-2017 21:17,1,2,4.0,SEMI_FURNISHED,0,12.92010163,77.66959442,FAMILY,0,Bellandur,TWO_WHEELER,7,800,0,560103.0,15000,100000,IF
ff808181505cf31901505fd917e80bdd,BHK3,24-02-2017 17:48,3,1,4.0,SEMI_FURNISHED,0,12.9234947,77.6851069,FAMILY,1,Bellandur,FOUR_WHEELER,2,1700,0,560103.0,40000,300000,AP
ff808181506fff08015074a16e282350,BHK2,23-03-2017 17:22,2,2,3.0,NOT_FURNISHED,0,12.9040772,77.7029137,FAMILY,1,Bellandur,BOTH,1,1477,0,560103.0,30000,200000,AP
ff808181510fe91b015114f454a921ad,BHK3,09-03-2017 15:19,3,2,4.0,FULLY_FURNISHED,1,12.925638,77.677937,BACHELOR,1,Bellandur,BOTH,0,2100,0,560103.0,15000,75000,AP
ff808181515e8a82015161326d16089e,BHK2,01-02-2017 23:12,2,2,4.0,SEMI_FURNISHED,0,12.9255069,77.6690579,FAMILY,1,Bellandur,BOTH,5,1140,0,560103.0,20000,200000,AP
ff8081815185752901518661318b1371,BHK3,25-03-2017 16:36,3,2,11.0,SEMI_FURNISHED,1,12.92380841,77.68495133,FAMILY,1,Bellandur,BOTH,0,1695,1,560103.0,35000,350000,AP
ff80818151e74be30151e7b72f8c06e0,RK1,24-03-2017 19:14,1,4,4.0,SEMI_FURNISHED,0,12.93424702,77.70527649,ANYONE,0,Bellandur,BOTH,1,600,0,560037.0,6500,20000,AP
ff808181523fe1ba01524402d6f71d02,BHK3,05-03-2017 18:48,2,2,4.0,SEMI_FURNISHED,0,12.91893094,77.67476459,ANYONE,1,Bellandur,BOTH,5,1700,0,560103.0,28000,150000,AP
ff80818152ab65b30152c00804863884,BHK2,03-03-2017 19:36,2,2,2.0,SEMI_FURNISHED,1,12.91838367,77.69667506,FAMILY,1,Bellandur,BOTH,1,1251,1,560035.0,26000,200000,AP
ff80818152dddb9b0152df35045a168d,BHK3,15-03-2017 17:51,3,3,4.0,SEMI_FURNISHED,0,12.92766081,77.67178918,FAMILY,1,Bellandur,BOTH,7,1450,0,560103.0,28500,285000,AP
ff80818152dddcbb0152df462fbe1875,BHK1,21-02-2017 14:53,1,2,3.0,SEMI_FURNISHED,0,12.91956433,77.66925006,ANYONE,0,Bellandur,TWO_WHEELER,7,500,0,560103.0,13000,60000,IF
ff808181534744b101534aad00d418a9,BHK2,11-03-2017 17:40,2,0,3.0,SEMI_FURNISHED,1,12.92483132,77.66816631,FAMILY,1,Bellandur,BOTH,7,1151,1,560103.0,28000,250000,AP
ff808181534744b101534c2d26b9409e,BHK3,09-02-2017 20:03,3,3,5.0,SEMI_FURNISHED,0,12.919727,77.6689984,ANYONE,1,Bellandur,BOTH,5,1495,0,560103.0,28000,150000,AP
ff8081815373efb70153750d98221db8,BHK2,10-03-2017 15:13,2,0,4.0,SEMI_FURNISHED,1,12.92699267,77.67454975,FAMILY,1,Bellandur,BOTH,6,1060,0,560103.0,21000,50000,AP
ff8081815373efb7015378a2da0e3d89,BHK2,09-02-2017 20:13,2,1,10.0,FULLY_FURNISHED,1,12.92356128,77.66455125,ANYONE,1,Bellandur,BOTH,5,1200,1,560103.0,13500,10000,AP
ff808181538a91db01538e97ca1334e8,BHK3,17-03-2017 17:11,3,9,12.0,SEMI_FURNISHED,1,12.9299841,77.68684822,FAMILY,1,Bellandur,BOTH,10,1825,1,560103.0,36000,300000,AP
ff80818153e03c350153e0733a2304d9,BHK2,06-03-2017 11:20,2,2,4.0,SEMI_FURNISHED,0,12.92629009,77.67585161,ANYONE,1,Bellandur,BOTH,10,1100,0,560103.0,21000,180000,AP
ff80818154072f4c0154095a1c39140c,BHK4,27-03-2017 17:46,4,9,10.0,SEMI_FURNISHED,1,12.94636506,77.67636904,ANYONE,1,Bellandur,BOTH,0,2700,1,560037.0,46000,460000,AP
ff808181542aa05601542ce45409098a,BHK2,07-02-2017 11:34,2,4,4.0,SEMI_FURNISHED,1,12.92938321,77.67473213,FAMILY,1,Bellandur,BOTH,0,900,1,560103.0,25000,200000,AP
ff808181548face90154945bc6663835,BHK2,22-03-2017 19:18,2,1,4.0,SEMI_FURNISHED,0,12.92530393,77.67750549,ANYONE,1,Bellandur,TWO_WHEELER,6,1110,0,560103.0,23000,150000,AP
