property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bc25254014bc430e63a0092,BHK2,12-02-2017 15:54,1,0,2.0,SEMI_FURNISHED,0,12.90967075,77.55093518,ANYONE,0,Chikkalasandra,BOTH,9,1100,0,560061.0,12000,50000,IF
ff8081814db4d98a014db7c0814b07af,BHK2,24-03-2017 18:17,2,1,2.0,NOT_FURNISHED,0,12.91434981,77.54703332,FAMILY,0,Chikkalasandra,TWO_WHEELER,10,900,0,560061.0,11000,140000,IF
ff8081814dbef14c014dc3984d2a188b,BHK2,27-02-2017 21:58,2,0,5.0,SEMI_FURNISHED,0,12.9127517,77.5513959,FAMILY,1,Chikkalasandra,BOTH,7,1100,0,560061.0,13000,130000,AP
ff8081814e245dd4014e2f150a064bdc,BHK2,27-03-2017 13:57,2,2,4.0,SEMI_FURNISHED,0,12.91188377,77.55189548,FAMILY,0,Chikkalasandra,TWO_WHEELER,11,1100,0,560061.0,13500,100000,AP
ff8081814f281da5014f2a63574f032f,BHK3,14-03-2017 20:15,2,1,2.0,SEMI_FURNISHED,0,12.91168149,77.55136644,FAMILY,0,Chikkalasandra,BOTH,7,1200,0,560061.0,15000,150000,IF
ff8081814f69db08014f69eb8f1e00e7,BHK2,21-03-2017 10:30,2,2,2.0,SEMI_FURNISHED,0,12.9132968,77.54222273,FAMILY,0,Chikkalasandra,BOTH,10,1250,0,560061.0,16500,100000,IF
ff8081814ffe5b33014fff5af5e10a2c,RK1,18-03-2017 15:27,1,0,2.0,FULLY_FURNISHED,0,12.9127026,77.54613558,ANYONE,0,Chikkalasandra,TWO_WHEELER,1,320,0,560061.0,7500,50000,IF
ff8081815048864001504b325d5e078f,BHK2,09-02-2017 15:41,2,1,2.0,SEMI_FURNISHED,0,12.9096067,77.55041483,ANYONE,0,Chikkalasandra,BOTH,1,925,0,560061.0,10500,50000,IF
ff80818150b545ca0150b8a755e02c47,BHK2,25-02-2017 15:44,1,1,3.0,SEMI_FURNISHED,0,12.91699653,77.5467413,ANYONE,0,Chikkalasandra,BOTH,0,550,0,560061.0,12000,120000,AP
ff80818150c1cd880150c768460527f9,BHK1,03-03-2017 22:15,1,1,1.0,NOT_FURNISHED,0,12.9101884,77.54971746,ANYONE,0,Chikkalasandra,TWO_WHEELER,10,350,0,560061.0,7000,70000,IF
ff808181510beddd01510fbeee8d11ae,BHK2,10-02-2017 10:53,2,1,2.0,SEMI_FURNISHED,0,12.90478278,77.55272094,ANYONE,0,Chikkalasandra,BOTH,0,900,0,560061.0,10750,65000,IF
ff808181510fe91b01510ff4f29e0078,BHK2,08-02-2017 20:02,2,2,4.0,SEMI_FURNISHED,0,12.9094982,77.5502539,FAMILY,1,Chikkalasandra,BOTH,1,1500,0,560061.0,16000,150000,AP
ff8081815149508101515c7d2337235e,BHK3,08-02-2017 17:38,2,2,3.0,SEMI_FURNISHED,0,12.91132326,77.54943757,FAMILY,1,Chikkalasandra,BOTH,5,1450,0,560061.0,16000,160000,AP
ff80818151a953db0151aa54a4b50b4e,BHK2,04-03-2017 12:39,2,1,1.0,SEMI_FURNISHED,1,12.90952957,77.55032632,ANYONE,0,Chikkalasandra,BOTH,0,925,0,560061.0,10000,65000,IF
ff80818151b922d90151be0f14f527ef,BHK4,13-03-2017 10:16,3,1,2.0,SEMI_FURNISHED,0,12.90885432,77.54828797,FAMILY,0,Chikkalasandra,BOTH,2,2000,0,560061.0,30000,500000,IH
ff80818151ec860a0151ed0d52e10839,BHK2,11-02-2017 22:42,2,1,5.0,SEMI_FURNISHED,1,12.9169855,77.5473408,FAMILY,1,Chikkalasandra,BOTH,5,1085,1,560061.0,13000,130000,AP
ff80818152796f4701527c466aaf094f,BHK3,10-02-2017 18:54,2,2,2.0,SEMI_FURNISHED,0,12.91226351,77.54502623,ANYONE,0,Chikkalasandra,BOTH,10,1200,0,560061.0,17000,200000,IF
ff80818153e2a2400153e6319d4c3351,BHK2,19-02-2017 10:24,2,3,3.0,SEMI_FURNISHED,0,12.91711548,77.54686569,FAMILY,0,Chikkalasandra,TWO_WHEELER,4,850,0,560061.0,11000,110000,IF
ff80818153e2a2400153e64ae5d33643,BHK2,25-02-2017 12:06,2,2,2.0,NOT_FURNISHED,0,12.91762584,77.54817273,ANYONE,0,Chikkalasandra,TWO_WHEELER,8,650,0,560061.0,10000,100000,IF
ff80818154100c780154140424b22571,BHK2,07-03-2017 16:23,1,1,1.0,SEMI_FURNISHED,0,12.91811577,77.55546609,FAMILY,0,Chikkalasandra,TWO_WHEELER,4,750,0,560061.0,10000,100000,IF
ff80818154146c6f015414999b2a0488,BHK1,19-02-2017 10:23,1,2,2.0,NOT_FURNISHED,0,12.91752854,77.54687105,FAMILY,0,Chikkalasandra,TWO_WHEELER,15,400,0,560061.0,7000,70000,IF
ff80818154809dad01548aafcc2b0ec8,BHK3,05-03-2017 17:33,3,1,4.0,SEMI_FURNISHED,0,12.91523345,77.54622464,ANYONE,1,Chikkalasandra,BOTH,5,1600,0,560061.0,20000,200000,AP
ff808181548fae60015498ba9b6a6a7b,BHK4,20-02-2017 13:22,3,0,1.0,SEMI_FURNISHED,0,12.90931258,77.55047652,FAMILY,0,Chikkalasandra,BOTH,8,2400,0,560061.0,20000,250000,IH
ff808181558799dc0155908b8d2e530e,BHK2,24-02-2017 10:52,1,1,3.0,SEMI_FURNISHED,0,12.91814021,77.55211416,FAMILY,1,Chikkalasandra,TWO_WHEELER,0,600,0,560070.0,12000,120000,IF
ff80818155d1039f0155d4cc11236452,BHK4,10-02-2017 19:10,4,0,2.0,SEMI_FURNISHED,0,12.91672135,77.54392907,ANYONE,0,Chikkalasandra,BOTH,0,1200,0,560061.0,35000,700000,IH
ff8081815612ceee015612d2c1650092,BHK3,14-03-2017 23:26,2,1,5.0,SEMI_FURNISHED,0,12.9158599,77.5485155,FAMILY,1,Chikkalasandra,BOTH,0,1445,0,560061.0,15000,150000,AP
ff8081815721e0240157234c9cdd1bfc,BHK2,16-03-2017 12:38,2,4,5.0,SEMI_FURNISHED,0,12.91593049,77.54860133,FAMILY,1,Chikkalasandra,BOTH,0,1100,0,560061.0,15000,100000,AP
ff80818157529ffb01575c645a9b76de,BHK2,12-02-2017 16:13,2,0,2.0,SEMI_FURNISHED,0,12.91710371,77.54680568,FAMILY,0,Chikkalasandra,BOTH,0,800,0,560061.0,12000,120000,IF
ff80818158526819015857e408852a7f,BHK3,04-03-2017 12:36,2,3,3.0,SEMI_FURNISHED,1,12.91106357,77.55178901,FAMILY,1,Chikkalasandra,BOTH,5,1300,0,560061.0,15000,150000,AP
ff8081815871433e015876cfc29a30e9,BHK3,19-02-2017 15:41,2,1,3.0,SEMI_FURNISHED,0,12.91470246,77.54865942,FAMILY,1,Chikkalasandra,TWO_WHEELER,10,1500,0,560061.0,17000,300000,AP
ff8081815890a6c101589bf83d4849c3,BHK2,12-03-2017 13:24,3,1,1.0,SEMI_FURNISHED,0,12.90745024,77.54699177,FAMILY,0,Chikkalasandra,BOTH,10,1000,0,560061.0,15000,150000,IH
ff80818158fd789d015900e463f72b08,BHK2,08-02-2017 17:07,2,1,2.0,SEMI_FURNISHED,0,12.91555626,77.54190089,FAMILY,0,Chikkalasandra,BOTH,3,1000,0,560061.0,16000,160000,IF
ff8081815916a693015916ddab2b0ad8,BHK2,04-03-2017 12:30,2,3,3.0,SEMI_FURNISHED,0,12.91133273,77.5521264,ANYONE,0,Chikkalasandra,TWO_WHEELER,5,750,0,560061.0,10000,60000,AP
ff8081815925425d015925ca9a991ff5,BHK1,08-02-2017 12:22,1,0,1.0,SEMI_FURNISHED,0,12.91183572,77.55300447,FAMILY,0,Chikkalasandra,TWO_WHEELER,10,550,0,560061.0,7000,50000,IF
ff808181598ec1650159928e67290df0,BHK2,27-02-2017 11:56,2,2,4.0,NOT_FURNISHED,0,12.91707234,77.546862,FAMILY,1,Chikkalasandra,BOTH,8,1050,0,560061.0,13500,130000,AP
ff80818159f48c850159f523fabb290c,BHK3,03-02-2017 11:24,3,3,4.0,SEMI_FURNISHED,1,12.9120815,77.5462476,FAMILY,1,Chikkalasandra,BOTH,10,1820,0,560061.0,23000,250000,AP
ff80818159f48c850159f8606dd77284,BHK1,01-02-2017 12:11,1,2,2.0,SEMI_FURNISHED,0,12.91859545,77.55510005,FAMILY,0,Chikkalasandra,TWO_WHEELER,0,400,0,,4500,50000,IF
ff80818159fc8112015a01fe8422342f,BHK2,03-02-2017 17:03,2,1,3.0,SEMI_FURNISHED,0,12.9120815,77.5462476,FAMILY,0,Chikkalasandra,TWO_WHEELER,5,1000,0,560064.0,12500,100000,IF
ff8081815a12f24b015a1725939e2c1c,BHK3,07-02-2017 20:05,2,2,3.0,SEMI_FURNISHED,0,12.90982339,77.54475381,FAMILY,1,Chikkalasandra,BOTH,5,1250,0,560061.0,26000,260000,AP
ff8081815a12f24b015a180a2cf35ad2,RK1,07-02-2017 18:08,1,0,1.0,SEMI_FURNISHED,0,12.91184487,77.5530836,BACHELOR,0,Chikkalasandra,TWO_WHEELER,10,300,0,560061.0,4500,25000,IF
ff8081815a28477e015a2c0e76b13e88,BHK2,11-02-2017 15:17,2,2,4.0,SEMI_FURNISHED,1,12.9159494,77.5458598,FAMILY,1,Chikkalasandra,FOUR_WHEELER,10,875,1,560061.0,10500,100000,AP
ff8081815a36829d015a372816e537dd,BHK1,13-02-2017 17:40,1,0,0.0,NOT_FURNISHED,0,12.90950866,77.55035046,FAMILY,0,Chikkalasandra,TWO_WHEELER,10,400,0,560061.0,6000,60000,IH
ff8081815a36829d015a376f3ca67cdc,RK1,13-02-2017 18:30,1,1,1.0,NOT_FURNISHED,0,12.91010997,77.54964236,BACHELOR,0,Chikkalasandra,TWO_WHEELER,10,200,0,560061.0,3000,35000,IF
ff8081815a3693f7015a3839f1a97d79,RK1,14-02-2017 16:41,1,2,2.0,SEMI_FURNISHED,0,12.9120815,77.5462476,FAMILY,0,Chikkalasandra,NONE,3,400,0,560061.0,5000,40000,IF
ff8081815a3bbedd015a3bc3e2b50497,BHK2,21-03-2017 17:33,2,0,2.0,SEMI_FURNISHED,0,12.9120815,77.5462476,FAMILY,0,Chikkalasandra,TWO_WHEELER,0,900,0,560061.0,12000,100000,IF
ff8081815a409853015a40f0a5715a4c,BHK1,15-02-2017 15:46,1,1,2.0,SEMI_FURNISHED,0,12.90898577,77.55030754,FAMILY,0,Chikkalasandra,TWO_WHEELER,0,500,0,560061.0,7500,100000,IF
ff8081815a409853015a40f969d961e9,RK1,15-02-2017 15:46,1,2,2.0,NOT_FURNISHED,0,12.90903806,77.55031827,BACHELOR,0,Chikkalasandra,TWO_WHEELER,0,200,0,560061.0,5000,55000,IF
ff8081815a409853015a40fc9d7163b8,BHK3,15-02-2017 15:54,2,0,2.0,SEMI_FURNISHED,0,12.90898577,77.55027536,FAMILY,0,Chikkalasandra,TWO_WHEELER,0,900,0,560061.0,14000,154000,IF
ff8081815a409853015a412b230e15cf,BHK3,15-02-2017 16:21,2,1,4.0,SEMI_FURNISHED,0,12.9088164,77.5524151,ANYONE,0,Chikkalasandra,BOTH,2,1500,0,560061.0,17000,170000,AP
ff8081815a409853015a415707c84120,BHK2,15-02-2017 16:37,2,2,2.0,NOT_FURNISHED,0,12.90899623,77.55035046,FAMILY,0,Chikkalasandra,TWO_WHEELER,7,650,0,560061.0,6500,60000,IF
ff8081815a473e4e015a4ad972be0543,BHK4,17-02-2017 12:45,3,0,1.0,SEMI_FURNISHED,0,12.90944068,77.5503451,FAMILY,0,Chikkalasandra,BOTH,8,1800,0,560061.0,20000,250000,IF
ff8081815a474222015a479cfa746678,BHK2,16-02-2017 22:07,2,2,3.0,SEMI_FURNISHED,0,12.91406482,77.54575525,FAMILY,0,Chikkalasandra,TWO_WHEELER,7,700,0,560061.0,9000,90000,IF
ff8081815a4c18d8015a50497c1c30bd,BHK2,18-02-2017 17:58,2,0,2.0,SEMI_FURNISHED,0,12.91357692,77.54334009,FAMILY,0,Chikkalasandra,BOTH,0,850,0,560061.0,12000,120000,IF
ff8081815a59d9c1015a5a24949b62ee,BHK2,20-02-2017 12:04,2,0,2.0,SEMI_FURNISHED,0,12.91340268,77.54129334,FAMILY,0,Chikkalasandra,TWO_WHEELER,0,800,0,560061.0,8500,85000,IF
ff8081815a5f1287015a5f36ea3e387c,BHK2,21-02-2017 12:31,2,2,2.0,SEMI_FURNISHED,0,12.91181122,77.55191023,FAMILY,0,Chikkalasandra,BOTH,10,1000,0,560061.0,15000,150000,AP
