property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bf2b000014bf3be5f380437,BHK1,17-03-2017 18:20,1,2,3.0,SEMI_FURNISHED,0,12.83507623,77.66538976,FAMILY,0,Electronic City,TWO_WHEELER,4,550,0,560100.0,6500,30000,IF
ff8081814da52206014da90031ea11ec,BHK1,09-03-2017 17:26,1,3,3.0,SEMI_FURNISHED,0,12.84324432,77.64667693,ANYONE,0,Electronic City,TWO_WHEELER,2,450,0,560100.0,8000,40000,IF
ff8081814dbce3da014dbdba76090898,BHK2,09-02-2017 20:00,2,1,7.0,SEMI_FURNISHED,1,12.84114379,77.6450127,FAMILY,1,Electronic City,BOTH,1,1078,1,560100.0,17000,100000,AP
ff8081814ddc8006014ddcb94c310261,BHK2,03-03-2017 17:34,2,2,3.0,SEMI_FURNISHED,0,12.83289914,77.6894867,ANYONE,0,Electronic City,BOTH,0,1000,0,560100.0,15000,150000,IF
ff8081814e0bf21b014e1048b3ec1dbf,BHK2,12-03-2017 16:32,2,0,1.0,SEMI_FURNISHED,0,12.87861364,77.62137154,FAMILY,0,Electronic City,BOTH,1,1500,0,560068.0,12500,100000,IF
ff8081814e322687014e33d2a6cd09cf,BHK2,22-03-2017 11:23,2,1,3.0,SEMI_FURNISHED,0,12.83200736,77.67874855,ANYONE,0,Electronic City,TWO_WHEELER,6,900,0,560100.0,11000,50000,IF
ff8081814e3e0710014e3ef08bdc0c9d,BHK1,04-03-2017 11:06,1,1,5.0,SEMI_FURNISHED,0,12.8424246,77.66548545,ANYONE,0,Electronic City,TWO_WHEELER,0,500,0,560100.0,7000,30000,IF
ff8081814e5cc5af014e6d9086de10ea,BHK1,12-02-2017 16:32,1,0,5.0,FULLY_FURNISHED,1,12.82098909,77.68757089,ANYONE,1,Electronic City,BOTH,5,900,0,560099.0,12000,60000,AP
ff8081814e852ae8014e8635b81b0926,BHK3,10-03-2017 10:18,3,1,3.0,SEMI_FURNISHED,1,12.82844477,77.69055467,ANYONE,1,Electronic City,BOTH,7,1781,1,560100.0,18000,180000,AP
ff8081814e852ae8014e87fc94291fc9,BHK1,10-02-2017 10:45,1,2,4.0,SEMI_FURNISHED,1,12.83563386,77.69542468,FAMILY,1,Electronic City,BOTH,2,652,0,560100.0,9000,40000,AP
ff8081814e92b691014e9fa24e705087,BHK2,17-03-2017 16:33,2,1,4.0,SEMI_FURNISHED,0,12.823203,77.6686848,ANYONE,1,Electronic City,TWO_WHEELER,2,900,0,560100.0,12000,50000,AP
ff8081814ea04efe014ea510f58c2690,BHK1,22-03-2017 19:09,1,0,1.0,SEMI_FURNISHED,0,12.84937181,77.67159911,BACHELOR,0,Electronic City,TWO_WHEELER,7,450,0,560100.0,7500,30000,IF
ff8081814eacc4b7014eaf2a481c041b,BHK2,10-03-2017 22:19,2,3,5.0,FULLY_FURNISHED,1,12.84289127,77.64853349,ANYONE,1,Electronic City,BOTH,4,989,1,560100.0,23000,100000,AP
ff8081814eb0539d014eb06e6e6a0090,BHK1,15-03-2017 13:42,1,0,3.0,SEMI_FURNISHED,0,12.84814167,77.67975059,ANYONE,0,Electronic City,TWO_WHEELER,3,300,0,560100.0,6500,20000,IF
ff8081814eb65997014eb695f6e6010e,BHK2,08-03-2017 17:42,2,4,19.0,SEMI_FURNISHED,1,12.8404796,77.6755916,FAMILY,1,Electronic City,BOTH,0,1200,1,560001.0,23000,150000,AP
ff8081814ed53d92014ed8208caa0606,BHK3,29-03-2017 17:58,3,4,4.0,SEMI_FURNISHED,0,12.8670154,77.6666766,ANYONE,0,Electronic City,BOTH,0,1518,0,560100.0,19000,125000,AP
ff8081814efee247014f0c86fffa48dc,BHK2,06-03-2017 10:49,2,2,3.0,SEMI_FURNISHED,0,12.79870677,77.66041197,ANYONE,1,Electronic City,BOTH,3,920,1,560105.0,10500,30000,AP
ff8081814f0cb8cb014f12abc8862689,RK1,17-03-2017 14:32,1,2,4.0,SEMI_FURNISHED,0,12.85437326,77.66819981,BACHELOR,0,Electronic City,BOTH,0,300,0,560100.0,5300,20000,AP
ff8081814f1ce4a7014f215fba341620,BHK1,09-02-2017 11:56,1,1,2.0,SEMI_FURNISHED,0,12.85305119,77.66356718,BACHELOR,0,Electronic City,TWO_WHEELER,5,350,0,560100.0,7500,20000,IF
ff8081814f281da5014f2af7553c075e,BHK3,19-02-2017 12:48,3,1,1.0,SEMI_FURNISHED,0,12.8456431,77.65174911,FAMILY,0,Electronic City,BOTH,5,1600,0,560100.0,15500,84000,IF
ff8081814f7276ba014f79b460392585,BHK2,04-03-2017 20:36,1,4,4.0,SEMI_FURNISHED,0,12.84792723,77.67886547,ANYONE,0,Electronic City,BOTH,10,600,0,560100.0,9800,45000,IF
ff8081814f9e462d014f9e9642c40176,BHK1,19-03-2017 15:42,1,2,2.0,FULLY_FURNISHED,0,12.85070969,77.67988176,FAMILY,0,Electronic City,BOTH,2,400,0,560100.0,5500,30000,IF
ff8081814fd4a00e014fd4ccbc590170,BHK2,02-03-2017 23:29,1,3,3.0,SEMI_FURNISHED,0,12.8313847,77.7004931,ANYONE,0,Electronic City,BOTH,10,550,0,560100.0,5000,30000,AP
ff8081814fda5dc9014fdacb71c404e1,BHK2,10-02-2017 18:58,2,0,4.0,SEMI_FURNISHED,1,12.83190522,77.666095,ANYONE,1,Electronic City,BOTH,1,1000,0,560100.0,15000,100000,AP
ff8081814ffe5b33015008d56244434c,BHK2,10-02-2017 15:43,2,2,7.0,SEMI_FURNISHED,1,12.83742099,77.68692578,ANYONE,1,Electronic City,BOTH,5,1100,0,560100.0,10000,50000,AP
ff808181504251c5015045d2529f0fbf,BHK2,06-03-2017 21:27,1,1,2.0,NOT_FURNISHED,0,12.85419319,77.67124983,ANYONE,0,Electronic City,TWO_WHEELER,1,1200,0,560100.0,8500,25000,IF
ff808181504c8048015051ff93162a58,BHK2,14-02-2017 12:01,2,0,1.0,SEMI_FURNISHED,0,12.8729453,77.64135152,ANYONE,0,Electronic City,TWO_WHEELER,4,750,0,,9500,50000,IF
ff808181506604d40150660ff80f00b5,BHK2,13-03-2017 16:54,2,5,5.0,SEMI_FURNISHED,1,12.83421159,77.69612716,ANYONE,1,Electronic City,BOTH,0,1100,1,560100.0,15000,100000,AP
ff808181506c288f01506f6642400cc7,BHK3,22-02-2017 16:40,3,0,1.0,NOT_FURNISHED,0,12.8399389,77.6770031,FAMILY,0,Electronic City,BOTH,10,1170,0,560100.0,16000,160000,IH
ff808181507c3c0501507f8e61d21522,BHK1,14-03-2017 18:28,1,1,3.0,SEMI_FURNISHED,0,12.84355213,77.64913032,FAMILY,0,Electronic City,TWO_WHEELER,0,600,0,560100.0,8500,50000,IF
ff80818150a87d9e0150ad076e8e1eeb,BHK1,04-03-2017 18:18,1,3,4.0,SEMI_FURNISHED,0,12.83134588,77.68239387,ANYONE,0,Electronic City,BOTH,1,450,0,560100.0,6800,30000,AP
ff80818150affb3f0150b34073622544,BHK3,18-03-2017 14:34,3,6,7.0,SEMI_FURNISHED,1,12.83813193,77.67360302,FAMILY,1,Electronic City,BOTH,4,1800,1,560100.0,22000,100000,AP
ff80818150affb3f0150b3a0ca572ec9,BHK1,10-02-2017 11:22,1,1,3.0,SEMI_FURNISHED,0,12.84804332,77.65316966,FAMILY,0,Electronic City,TWO_WHEELER,3,600,0,560100.0,7000,50000,IF
ff80818150f505150150fb95e09a2bb0,BHK1,07-03-2017 09:52,1,1,2.0,SEMI_FURNISHED,0,12.84810784,77.67947411,FAMILY,0,Electronic City,TWO_WHEELER,1,380,0,560100.0,7500,20000,IF
ff808181510029e201510b3b43f74a64,BHK3,20-03-2017 11:05,3,0,0.0,SEMI_FURNISHED,0,12.82859867,77.6894455,ANYONE,0,Electronic City,BOTH,5,1900,0,560100.0,17000,170000,IH
ff808181510beddd01510efde7dd08b0,BHK2,17-02-2017 15:49,2,1,3.0,SEMI_FURNISHED,0,12.86035605,77.6750343,FAMILY,1,Electronic City,BOTH,0,900,0,560099.0,12000,120000,AP
ff808181510fead4015114dcc14c20f9,BHK1,10-03-2017 14:30,1,1,4.0,SEMI_FURNISHED,0,12.84915107,77.6772025,ANYONE,0,Electronic City,TWO_WHEELER,1,375,0,560100.0,8000,30000,IF
ff8081815115c6f601511b87aa072c2f,BHK3,10-03-2017 10:17,3,1,8.0,SEMI_FURNISHED,1,12.86661907,77.65130273,FAMILY,1,Electronic City,BOTH,7,1898,1,560100.0,24000,240000,AP
ff808181515e8a820151626d8caf1fb9,BHK3,25-03-2017 16:35,3,3,19.0,SEMI_FURNISHED,1,12.84265919,77.64727439,BACHELOR,1,Electronic City,BOTH,30,1970,1,560100.0,8000,15000,AP
ff80818151669a4001516cf196b83adf,BHK1,17-03-2017 18:10,1,0,3.0,FULLY_FURNISHED,0,12.84438804,77.66787789,FAMILY,0,Electronic City,TWO_WHEELER,0,600,0,560100.0,6500,30000,IF
ff80818151920543015195a1114b1a47,BHK2,07-02-2017 16:15,2,6,7.0,SEMI_FURNISHED,1,12.84096706,77.64324554,ANYONE,1,Electronic City,BOTH,1,1300,1,560100.0,20000,200000,AP
ff80818151ae8c4e0151afdaf7001a66,BHK1,10-02-2017 18:55,1,0,3.0,NOT_FURNISHED,0,12.84975231,77.66308136,ANYONE,0,Electronic City,BOTH,4,600,0,560100.0,9500,35000,AP
ff80818151ae8c4e0151b3f679cd3444,BHK2,14-02-2017 12:17,2,9,16.0,SEMI_FURNISHED,1,12.84257005,77.65174283,FAMILY,1,Electronic City,BOTH,0,1453,1,560100.0,19000,150000,AP
ff80818151ae8c4e0151b3f6d0c43448,BHK2,21-03-2017 15:35,3,1,1.0,SEMI_FURNISHED,0,12.84285448,77.68998679,ANYONE,0,Electronic City,TWO_WHEELER,1,2400,0,560100.0,14000,100000,IF
ff80818151b485ff0151b8f4e96023ef,BHK2,05-02-2017 12:18,2,3,3.0,FULLY_FURNISHED,0,12.8489842,77.6496286,BACHELOR,1,Electronic City,BOTH,2,1150,0,,7500,50000,
ff80818151b924d00151ba43e40918d3,BHK2,03-03-2017 16:48,2,3,22.0,SEMI_FURNISHED,1,12.85172516,77.6588025,FAMILY,1,Electronic City,FOUR_WHEELER,1,1400,1,560100.0,30000,250000,AP
ff80818151cdaeb30151ce0985b00575,BHK1,20-03-2017 17:28,1,3,3.0,SEMI_FURNISHED,0,12.83820437,77.68952022,FAMILY,0,Electronic City,BOTH,4,600,0,560100.0,7000,70000,IF
