property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff808081486e6af00148744180fd02b1,BHK2,19-02-2017 10:35,2,2,2.0,SEMI_FURNISHED,1,12.8990311,77.65695452,ANYONE,0,HSR Layout,BOTH,2,1050,0,560068.0,18000,100000,IF
ff80808149393cef014955efe1500fd1,BHK2,25-03-2017 10:24,2,0,0.0,SEMI_FURNISHED,0,12.9117651,77.64929962,FAMILY,0,HSR Layout,BOTH,5,1350,0,560068.0,16500,180000,IH
ff8080814ada14f3014b0bd49e7731ee,BHK2,07-02-2017 12:15,2,0,4.0,SEMI_FURNISHED,0,12.90565982,77.64686503,FAMILY,1,HSR Layout,BOTH,0,800,0,560102.0,18000,180000,AP
ff8081814bd62607014bde7f7bfa0d80,RK1,01-02-2017 23:45,1,3,3.0,SEMI_FURNISHED,0,12.91209061,77.63798123,BACHELOR,0,HSR Layout,TWO_WHEELER,5,250,0,560102.0,6000,35000,IF
ff8081814c17ede2014c211e32c51355,BHK1,28-03-2017 13:57,1,3,4.0,SEMI_FURNISHED,0,12.90811641,77.64327694,FAMILY,0,HSR Layout,BOTH,3,900,0,560102.0,16000,100000,IF
ff8081814c58efc3014c5f40b889120d,BHK2,21-03-2017 12:59,2,2,3.0,SEMI_FURNISHED,0,12.90818276,77.64766231,FAMILY,0,HSR Layout,TWO_WHEELER,2,950,0,560102.0,25000,200000,IF
ff8081814c58efc3014c643f06141fee,BHK2,08-03-2017 14:44,2,1,3.0,SEMI_FURNISHED,0,12.90929939,77.64301041,FAMILY,0,HSR Layout,NONE,3,600,0,560102.0,19000,80000,IF
ff8081814ca86486014cb10ecdcb190e,BHK2,22-03-2017 12:37,2,0,1.0,SEMI_FURNISHED,1,12.91017771,77.63934764,FAMILY,1,HSR Layout,BOTH,4,1095,0,560102.0,18000,100000,IF
ff8081814cd15f41014cd18742af00ec,BHK2,11-03-2017 15:30,1,1,,SEMI_FURNISHED,0,12.90134787,77.64509059,ANYONE,0,HSR Layout,BOTH,0,600,0,,12000,50000,
ff8081814cd15f41014cd18ad70e00fd,RK1,08-03-2017 13:28,1,4,4.0,SEMI_FURNISHED,0,12.90024647,77.64622062,BACHELOR,0,HSR Layout,TWO_WHEELER,3,200,0,560068.0,6000,25000,IF
ff8081814cd15f41014cd190ed050120,BHK2,11-03-2017 15:30,1,3,,SEMI_FURNISHED,0,12.9013897,77.64540173,FAMILY,0,Hsr layout,BOTH,0,600,0,,11500,50000,
ff8081814d38c1d7014d3c1d4b9608f1,BHK2,27-03-2017 17:14,2,2,,NOT_FURNISHED,0,12.9011375,77.6411437,ANYONE,0,Hsr layout,BOTH,1,600,0,,12000,70000,
ff8081814d76c9df014d80af785739eb,BHK3,09-03-2017 12:33,2,4,4.0,SEMI_FURNISHED,1,12.90680716,77.6488951,ANYONE,1,Hsr layout,BOTH,5,1440,1,560102.0,23000,150000,AP
ff8081814d76c9df014d8574f9a359f9,BHK3,26-03-2017 14:40,3,2,4.0,SEMI_FURNISHED,1,12.90132314,77.64970481,FAMILY,1,Hsr layout,BOTH,3,1527,1,560068.0,30000,250000,AP
ff8081814de81414014debc1e67513db,BHK1,27-03-2017 16:40,1,3,3.0,FULLY_FURNISHED,0,12.91932256,77.63753838,ANYONE,0,Hsr layout,TWO_WHEELER,3,400,0,560034.0,12500,50000,IF
ff8081814e0bf21b014e0f5215480eda,RK1,07-03-2017 18:57,1,1,1.0,SEMI_FURNISHED,0,12.9148282,77.651571,BACHELOR,0,Hsr layout,TWO_WHEELER,0,300,0,560102.0,10000,40000,IF
ff8081814e39473b014e3953acae0099,RK1,20-03-2017 16:25,1,3,3.0,SEMI_FURNISHED,0,12.9163922,77.63721319,BACHELOR,0,Hsr layout,TWO_WHEELER,6,132,0,560102.0,6000,25000,IF
ff8081814e44e60a014e456faf010482,BHK3,15-03-2017 13:36,2,1,4.0,SEMI_FURNISHED,0,12.90851707,77.63130964,ANYONE,1,Hsr layout,BOTH,9,1300,0,560102.0,23000,100000,AP
ff8081814e6e452a014e71498ea70bc6,BHK3,19-03-2017 18:30,2,1,2.0,SEMI_FURNISHED,0,12.91719747,77.65148887,ANYONE,0,Hsr layout,TWO_WHEELER,10,1200,0,560102.0,20000,150000,IF
ff8081814eaf0afa014eaf3195920099,BHK3,06-02-2017 18:21,2,1,3.0,SEMI_FURNISHED,0,12.91383797,77.62803295,ANYONE,0,Hsr layout,BOTH,0,1351,0,560102.0,27000,200000,IF
ff8081814ebc4751014ebf6926b70ad5,BHK2,12-03-2017 09:54,2,0,2.0,SEMI_FURNISHED,0,12.89893828,77.65729382,ANYONE,0,Hsr layout,BOTH,2,1080,0,560102.0,16000,150000,IH
ff8081814ebf8598014ec49ed4ab1dd6,BHK2,14-03-2017 12:30,2,0,2.0,SEMI_FURNISHED,1,12.91664126,77.64358145,ANYONE,0,Hsr layout,BOTH,7,1400,1,560102.0,30000,200000,IF
