property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff808081474aa867014771a0298f0aa6,BHK1,15-03-2017 18:29,1,1,2.0,SEMI_FURNISHED,0,12.99024289,77.71296243,ANYONE,0,Hoodi,BOTH,4,450,0,560048.0,6500,40000,IF
ff80808149393cef01497f8659382996,BHK2,22-03-2017 23:23,2,0,2.0,SEMI_FURNISHED,0,13.00888017,77.71599137,FAMILY,0,Hoodi,TWO_WHEELER,2,1150,0,560049.0,13500,100000,AP
ff8081814c71c56e014c796b89d3100d,BHK3,17-03-2017 17:51,3,2,5.0,SEMI_FURNISHED,0,12.9887461,77.715987,ANYONE,1,Hoodi,BOTH,6,1776,0,560048.0,21000,200000,AP
ff8081814d76c9df014d7f2fa19328c5,BHK1,10-02-2017 18:25,1,2,3.0,SEMI_FURNISHED,0,12.99651625,77.71944645,ANYONE,0,Hoodi,TWO_WHEELER,1,600,0,560048.0,10000,50000,IF
ff8081814dbce3da014dbdc1a78008e7,BHK2,04-03-2017 12:26,2,3,4.0,SEMI_FURNISHED,1,12.99554227,77.70375808,FAMILY,1,Hoodi,BOTH,0,1229,1,560048.0,30000,200000,AP
ff8081814e4801ec014e48e22cb30b89,BHK2,11-02-2017 13:05,2,3,3.0,SEMI_FURNISHED,1,12.9913476,77.71739948,FAMILY,1,Hoodi,BOTH,8,1400,1,560048.0,20000,200000,AP
ff8081814f86ace0014f8c5841481f65,BHK2,04-02-2017 17:55,2,0,4.0,NOT_FURNISHED,1,12.99252717,77.72128007,ANYONE,1,Hoodi,BOTH,6,910,1,560067.0,15000,120000,AP
ff8081814ffe5b33015004acf2932c6a,BHK3,03-03-2017 11:44,3,3,4.0,FULLY_FURNISHED,1,12.99117249,77.71737937,BACHELOR,1,Hoodi,TWO_WHEELER,0,1450,1,560048.0,9000,20000,AP
ff808181504c7e5a0150512801e91d10,BHK1,11-02-2017 10:21,1,1,2.0,SEMI_FURNISHED,0,12.98803775,77.71039659,FAMILY,0,Hoodi,TWO_WHEELER,0,600,0,560048.0,9000,50000,IF
ff80818150f5035801510026db6138c1,BHK2,28-03-2017 11:08,2,1,4.0,SEMI_FURNISHED,0,12.98697034,77.71821646,FAMILY,0,Hoodi,BOTH,2,1200,0,560048.0,15000,100000,IF
ff80818151495081015152f6a88157b3,BHK2,07-03-2017 09:24,2,2,6.0,SEMI_FURNISHED,1,12.99414428,77.71555873,FAMILY,1,Hoodi,BOTH,4,1430,1,560048.0,25000,150000,AP
ff80818151669a400151803d5f7e4f94,BHK1,23-03-2017 17:16,1,1,2.0,NOT_FURNISHED,0,12.99349903,77.71754398,ANYONE,0,Hoodi,TWO_WHEELER,7,400,0,560067.0,8000,40000,IF
ff8081815216f51101521c300322343b,BHK4,02-02-2017 10:31,4,14,18.0,FULLY_FURNISHED,1,12.994106,77.728755,ANYONE,1,Hoodi,BOTH,1,2215,1,560067.0,16000,32000,AP
ff808181525fd9ca01526307d39e0cd2,BHK3,08-03-2017 14:06,2,2,3.0,SEMI_FURNISHED,1,12.98567772,77.71110535,FAMILY,1,Hoodi,BOTH,3,1280,0,560048.0,25000,250000,AP
ff8081815278a85f015278d56bb701e0,BHK2,09-03-2017 17:02,2,3,3.0,SEMI_FURNISHED,1,12.98969965,77.71426941,FAMILY,1,Hoodi,BOTH,10,1300,1,560048.0,25000,200000,IF
ff80818152a65c340152a689a5480239,BHK2,19-02-2017 18:24,1,1,3.0,SEMI_FURNISHED,0,12.99743146,77.71714031,ANYONE,0,Hoodi,TWO_WHEELER,12,700,0,560036.0,10000,30000,IF
ff80818152ef3e650152ef7614f203f5,BHK2,06-03-2017 18:20,2,1,9.0,SEMI_FURNISHED,1,12.99079913,77.71577738,FAMILY,1,Hoodi,BOTH,5,1445,1,560048.0,24000,300000,AP
ff8081815345462501534610e6e3145c,BHK2,08-02-2017 11:22,2,4,4.0,SEMI_FURNISHED,1,12.99123391,77.7174196,FAMILY,1,Hoodi,BOTH,5,1000,1,560048.0,18000,150000,AP
ff808181538516ad01538974832330b9,BHK2,04-03-2017 18:22,2,1,4.0,SEMI_FURNISHED,1,12.9822662,77.7185154,ANYONE,1,Hoodi,BOTH,4,935,1,560048.0,16500,80000,AP
ff80818154809f1601548ef8e6004c42,BHK2,13-02-2017 14:56,2,1,3.0,SEMI_FURNISHED,0,12.98804428,77.71064603,FAMILY,0,Hoodi,BOTH,2,1100,0,560048.0,16000,100000,AP
ff80818154ebec4a0154ec83f33e0e4e,BHK1,23-03-2017 16:32,1,1,3.0,SEMI_FURNISHED,0,12.98501645,77.71794501,FAMILY,0,Hoodi,BOTH,6,550,0,560048.0,10000,30000,IF
ff80818154f7aa730154fbbc8c703207,BHK2,18-02-2017 19:26,2,3,4.0,SEMI_FURNISHED,0,12.989966,77.7146473,FAMILY,1,Hoodi,BOTH,9,1290,1,560048.0,19500,150000,AP
ff80818155058adf01550a734b7b3fb1,BHK2,13-03-2017 18:52,2,2,10.0,SEMI_FURNISHED,1,12.99109179,77.71619078,FAMILY,1,Hoodi,BOTH,7,1530,1,560048.0,25000,250000,AP
ff80818155112f250155255c9aad1ea6,BHK3,23-03-2017 12:19,3,3,4.0,FULLY_FURNISHED,1,12.99136198,77.7172694,ANYONE,1,Hoodi,BOTH,7,1370,1,560048.0,32000,125000,AP
ff8081815582790d015586887091539f,BHK3,04-03-2017 22:48,3,7,9.0,SEMI_FURNISHED,1,12.9909631,77.7160965,FAMILY,1,Hoodi,BOTH,4,1955,1,560048.0,31000,300000,AP
ff80818155f039ca0155f2b806933261,BHK2,06-03-2017 18:20,2,2,5.0,SEMI_FURNISHED,1,12.99703265,77.71799293,ANYONE,1,Hoodi,BOTH,2,1020,1,560048.0,16000,70000,AP
ff80818156418cfc015641b25e0a0247,BHK1,21-03-2017 11:05,1,1,2.0,SEMI_FURNISHED,0,12.9850452,77.71793428,FAMILY,0,Hoodi,BOTH,10,600,0,560048.0,11000,110000,IF
ff808181564f132601564fda67b73832,BHK3,21-03-2017 13:03,3,1,4.0,SEMI_FURNISHED,1,13.00018942,77.71717373,FAMILY,1,Hoodi,BOTH,0,1650,1,560036.0,25000,200000,AP
ff808181573dacb5015741bfda04718d,BHK1,17-03-2017 16:29,1,2,3.0,SEMI_FURNISHED,0,12.99412533,77.7168717,FAMILY,0,Hoodi,BOTH,0,450,0,560067.0,8500,60000,IF
