property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff808081469fd6e20146a5af948000ea,BHK2,09-03-2017 14:36,1,3,4.0,SEMI_FURNISHED,1,12.87617415,77.59657101,FAMILY,1,Hulimavu,BOTH,2,850,1,560076.0,12000,120000,AP
ff8080814924654401493659b1910786,BHK1,18-02-2017 19:41,1,1,3.0,SEMI_FURNISHED,0,12.8759179,77.595706,ANYONE,0,Hulimavu,BOTH,2,500,0,560076.0,9500,75000,AP
ff8080814aaa0c0f014aaa74306c00d7,BHK3,09-03-2017 12:40,2,2,3.0,SEMI_FURNISHED,1,12.8760957,77.59646372,FAMILY,1,Hulimavu,BOTH,3,1452,1,560076.0,21500,215000,AP
ff8081814d76c9df014d80042a38326e,BHK1,26-02-2017 22:05,1,1,1.0,SEMI_FURNISHED,0,12.88163992,77.59564597,ANYONE,0,Hulimavu,TWO_WHEELER,10,450,0,560076.0,7000,40000,IF
ff8081814d891540014d8ae81f7812b8,BHK2,27-02-2017 16:24,2,0,1.0,SEMI_FURNISHED,0,12.86621984,77.60029444,FAMILY,0,Hulimavu,BOTH,5,1000,0,560076.0,8000,80000,IF
ff8081814dcc27e6014dcd47a3400dcd,BHK2,27-03-2017 14:57,2,4,4.0,SEMI_FURNISHED,0,12.87583161,77.59715171,FAMILY,1,Hulimavu,TWO_WHEELER,0,920,0,560076.0,10000,50000,IF
ff8081814e0bf21b014e0f73970910bc,BHK2,10-03-2017 15:14,2,0,0.0,SEMI_FURNISHED,0,12.87519099,77.59616734,ANYONE,0,Hulimavu,BOTH,17,1300,0,560076.0,15000,150000,IH
ff8081814e4801ec014e4ed24c803c8a,BHK1,04-03-2017 22:30,1,0,2.0,SEMI_FURNISHED,0,12.88205605,77.59562916,ANYONE,0,Hulimavu,BOTH,4,450,0,560076.0,11000,100000,IF
ff8081814e52dd5d014e53bed7530b1c,BHK2,13-03-2017 18:41,2,2,4.0,SEMI_FURNISHED,0,12.8789001,77.6089869,ANYONE,1,Hulimavu,BOTH,8,1215,0,560076.0,16000,85000,AP
ff8081814f4440ed014f44c9650b05d1,BHK1,08-03-2017 14:20,1,3,3.0,SEMI_FURNISHED,0,12.87987851,77.60451486,FAMILY,0,Hulimavu,TWO_WHEELER,1,550,0,560076.0,8000,70000,IF
ff8081814f8dbe31014f927ffad31cbe,BHK1,09-03-2017 11:43,1,2,3.0,SEMI_FURNISHED,0,12.87905897,77.5974927,ANYONE,0,Hulimavu,TWO_WHEELER,0,400,0,560076.0,6500,50000,IF
ff8081814fda5dc9014fdb1c8464088a,BHK2,26-02-2017 17:20,2,1,3.0,SEMI_FURNISHED,0,12.88171929,77.60130812,ANYONE,0,Hulimavu,TWO_WHEELER,3,800,0,560076.0,12000,75000,AP
ff8081815048864001504b35dff907b2,BHK2,08-03-2017 15:10,2,2,12.0,SEMI_FURNISHED,0,12.8717957,77.5977064,FAMILY,1,Hulimavu,BOTH,2,970,0,560076.0,20000,150000,AP
ff808181504c804801505bacf56c6f35,BHK2,04-03-2017 18:17,2,2,11.0,SEMI_FURNISHED,0,12.8717957,77.5977064,ANYONE,1,Hulimavu,BOTH,1,977,0,560052.0,21000,210000,AP
ff8081815067173201506b368db11691,BHK2,07-03-2017 15:36,2,2,3.0,SEMI_FURNISHED,0,12.87887819,77.6108688,FAMILY,0,Hulimavu,TWO_WHEELER,0,950,0,560068.0,8000,80000,IF
ff808181509fb2600150a27b90f2072b,BHK3,24-02-2017 17:43,3,3,5.0,SEMI_FURNISHED,1,12.8587397,77.6013692,FAMILY,1,Hulimavu,BOTH,0,1800,1,560076.0,20000,150000,AP
ff80818150c1cd880150c3f8ba771808,BHK3,07-02-2017 11:09,3,6,6.0,SEMI_FURNISHED,1,12.88155334,77.61448475,FAMILY,1,Hulimavu,FOUR_WHEELER,2,1355,1,560076.0,19000,100000,AP
ff80818150d1689a0150d2b457b40d87,BHK3,04-03-2017 22:39,2,2,4.0,SEMI_FURNISHED,0,12.8664733,77.596909,ANYONE,1,Hulimavu,BOTH,3,1425,0,560076.0,17000,50000,AP
ff808181510029e201510ac633254585,BHK1,16-03-2017 13:01,1,3,3.0,SEMI_FURNISHED,0,12.87949132,77.61456591,FAMILY,0,Hulimavu,TWO_WHEELER,4,500,0,560076.0,7500,50000,IF
ff8081815185752901518ae9ebe433ec,BHK1,15-02-2017 22:01,1,2,4.0,SEMI_FURNISHED,0,12.87959084,77.60712319,FAMILY,0,Hulimavu,TWO_WHEELER,2,500,0,560076.0,8500,50000,IF
ff8081815235d4dc015235dc13a20058,BHK2,17-02-2017 23:50,2,0,3.0,SEMI_FURNISHED,0,12.88023462,77.60277434,ANYONE,0,Hulimavu,BOTH,4,1050,0,560076.0,12000,120000,AP
ff808181525888470152596249a11127,BHK3,26-03-2017 09:33,2,3,3.0,SEMI_FURNISHED,0,12.88121837,77.60344819,ANYONE,1,Hulimavu,BOTH,5,1452,0,560076.0,15000,150000,AP
ff80818152699afb01526d6a8d9c133b,BHK1,03-03-2017 15:06,1,0,3.0,NOT_FURNISHED,0,12.87956584,77.59718927,ANYONE,0,Hulimavu,TWO_WHEELER,5,700,0,560076.0,8500,85000,AP
ff80818152796dfd0152820d84483162,BHK3,10-03-2017 13:40,3,4,4.0,SEMI_FURNISHED,0,12.87981397,77.59446777,FAMILY,1,Hulimavu,BOTH,4,1450,0,560076.0,16500,165000,AP
ff8081815292dae701529b1fdea042d9,BHK3,20-03-2017 16:13,2,3,4.0,SEMI_FURNISHED,0,12.86570697,77.60156935,FAMILY,1,Hulimavu,BOTH,2,1435,0,560076.0,14000,84000,AP
ff80818152ab67620152b083821f2d9a,BHK2,06-03-2017 15:01,2,3,4.0,SEMI_FURNISHED,0,12.8801906,77.5931935,ANYONE,1,Hulimavu,BOTH,5,1000,0,560076.0,13000,100000,AP
ff80818152f816fc0152f933ff2a3991,BHK1,27-03-2017 14:59,1,2,3.0,NOT_FURNISHED,0,12.88112685,77.59875299,ANYONE,0,Hulimavu,TWO_WHEELER,5,450,0,560076.0,6500,30000,IF
ff808181530247730153035e3a381c94,RK1,04-03-2017 22:30,1,2,2.0,SEMI_FURNISHED,0,12.88208612,77.59550981,ANYONE,0,Hulimavu,TWO_WHEELER,4,450,0,560076.0,10000,100000,IF
ff808181530918f7015311a9807d519d,BHK3,28-03-2017 18:45,2,0,3.0,SEMI_FURNISHED,1,12.86392117,77.60017395,FAMILY,1,Hulimavu,BOTH,8,1300,1,560076.0,17000,170000,AP
ff8081815322ae8901533285b53e4644,BHK2,17-03-2017 17:28,2,0,1.0,SEMI_FURNISHED,0,12.86485975,77.60099,FAMILY,0,Hulimavu,TWO_WHEELER,10,1100,0,560076.0,12000,100000,IH
ff8081815356e06b01535fe71df25c8a,BHK1,17-02-2017 23:49,1,2,2.0,NOT_FURNISHED,0,12.88015698,77.60440891,ANYONE,0,Hulimavu,TWO_WHEELER,0,400,0,560076.0,6000,30000,AP
ff8081815356e2d201535f304b31511c,BHK2,07-02-2017 12:58,2,2,4.0,SEMI_FURNISHED,1,12.87743544,77.61593784,FAMILY,1,Hulimavu,BOTH,2,1202,0,560076.0,15000,110000,AP
ff8081815365852d01536e88d928684a,BHK3,04-03-2017 19:05,3,3,3.0,SEMI_FURNISHED,0,12.86640531,77.59689022,FAMILY,1,Hulimavu,BOTH,4,1432,0,560083.0,15000,150000,AP
ff8081815373f1fb01537e045f3804dd,BHK2,08-03-2017 14:19,2,1,3.0,SEMI_FURNISHED,0,12.87988113,77.60449474,FAMILY,0,Hulimavu,TWO_WHEELER,1,1200,0,560076.0,15000,100000,AP
ff808181539ee4de0153a25b7ec51ac7,BHK3,10-03-2017 10:17,2,1,3.0,SEMI_FURNISHED,0,12.86392082,77.60124603,FAMILY,1,Hulimavu,BOTH,5,1800,0,560076.0,18500,185000,AP
ff80818153c624450153c707ed241674,BHK3,03-03-2017 18:01,3,4,5.0,SEMI_FURNISHED,1,12.88029519,77.5931935,FAMILY,1,Hulimavu,BOTH,4,1815,0,560076.0,20000,150000,AP
ff80818153faed47015403d467e56996,BHK3,13-03-2017 18:12,2,2,4.0,SEMI_FURNISHED,1,12.8789001,77.6089869,FAMILY,1,Hulimavu,BOTH,6,1555,0,560076.0,15000,150000,IH
ff8081815433537801543754b3ff272f,BHK2,17-02-2017 11:36,2,2,4.0,SEMI_FURNISHED,0,12.87878146,77.61083628,FAMILY,1,Hulimavu,BOTH,0,855,0,560068.0,12000,120000,AP
ff8081815438325c015438369a1f003f,BHK2,24-02-2017 11:07,2,3,3.0,SEMI_FURNISHED,1,12.87631011,77.5953144,FAMILY,1,Hulimavu,BOTH,2,1150,1,560076.0,17000,175000,AP
ff80818154a15aef0154a43e808d1d79,BHK3,09-02-2017 15:06,3,2,4.0,SEMI_FURNISHED,0,12.88175799,77.60052989,FAMILY,0,Hulimavu,FOUR_WHEELER,3,1600,0,560076.0,18000,125000,AP
ff80818154a96cab0154a9edb99a122b,BHK2,09-03-2017 16:24,2,0,3.0,NOT_FURNISHED,0,12.8810373,77.5987939,ANYONE,0,Hulimavu,TWO_WHEELER,7,950,0,560076.0,11000,100000,IF
ff80818154d22f410154d3709b84261b,BHK1,23-02-2017 16:39,1,0,3.0,SEMI_FURNISHED,0,12.87522242,77.59606891,ANYONE,0,Hulimavu,TWO_WHEELER,6,400,0,560076.0,8500,50000,IF
ff80818155058adf0155068ba90a19b1,BHK2,28-03-2017 13:38,2,1,4.0,SEMI_FURNISHED,0,12.8784827,77.5986453,FAMILY,1,Hulimavu,BOTH,3,1452,1,560076.0,16500,140000,AP
ff80818155058d640155070d8f2124e6,RK1,22-03-2017 19:58,1,3,3.0,SEMI_FURNISHED,0,12.8752375,77.6038792,ANYONE,0,Hulimavu,TWO_WHEELER,1,175,0,560076.0,3500,25000,IF
ff80818155348568015534d9272308bf,BHK1,14-03-2017 17:46,1,1,2.0,SEMI_FURNISHED,0,12.88079055,77.60131278,ANYONE,0,Hulimavu,TWO_WHEELER,6,800,0,560076.0,8000,80000,IF
ff8081815558346601555cffd7917125,BHK2,06-03-2017 10:45,2,2,4.0,SEMI_FURNISHED,1,12.86177133,77.60511044,ANYONE,1,Hulimavu,BOTH,3,1275,1,560076.0,16000,160000,AP
ff8081815597055401559af4c1c3450c,BHK3,29-03-2017 11:52,2,3,4.0,SEMI_FURNISHED,0,12.86426592,77.59922813,FAMILY,1,Hulimavu,BOTH,1,1390,0,560076.0,16500,165000,AP
ff80818155e98ee70155e997c536017b,BHK1,09-02-2017 11:01,1,2,2.0,SEMI_FURNISHED,0,12.88022984,77.61322791,FAMILY,0,Hulimavu,TWO_WHEELER,0,850,0,560068.0,11500,115000,IF
ff808181561870af01561b5711770f18,BHK3,14-02-2017 13:48,2,2,24.0,SEMI_FURNISHED,0,12.87562252,77.61247407,FAMILY,1,Hulimavu,BOTH,0,1350,1,560076.0,22000,150000,AP
ff808181566e217301566f5df68e18d1,BHK2,10-02-2017 17:21,2,2,2.0,SEMI_FURNISHED,0,12.87613791,77.60293991,FAMILY,0,Hulimavu,BOTH,3,1000,0,560076.0,12500,80000,IF
ff808181568dbe1d01569241aa6c57f0,BHK3,27-03-2017 16:56,2,4,11.0,SEMI_FURNISHED,1,12.87922105,77.59593159,FAMILY,1,Hulimavu,BOTH,8,1575,1,560076.0,26000,250000,AP
ff80818156da175c0156da19010a0037,BHK3,01-02-2017 11:32,3,4,27.0,SEMI_FURNISHED,1,12.87544995,77.61249016,FAMILY,1,Hulimavu,FOUR_WHEELER,0,1476,1,560076.0,28000,280000,AP
ff80818156e053f10156e05ff4e8034f,BHK3,24-02-2017 11:20,3,3,4.0,FULLY_FURNISHED,0,12.8805131,77.59783,ANYONE,1,Hulimavu,TWO_WHEELER,0,1200,0,560076.0,8500,35000,AP
ff808181572e847001572ea48c8101be,BHK2,27-03-2017 12:59,2,7,13.0,SEMI_FURNISHED,0,12.8608621,77.5986913,FAMILY,0,Hulimavu,BOTH,4,1500,0,560076.0,19000,100000,AP
ff80818157381c5601573848b73a0a42,BHK2,19-02-2017 12:33,2,2,3.0,SEMI_FURNISHED,0,12.87963403,77.60474687,FAMILY,0,Hulimavu,TWO_WHEELER,2,700,0,560076.0,9000,60000,IF
ff808181579eaaf00157a291901c74d1,BHK3,18-03-2017 18:24,2,15,27.0,SEMI_FURNISHED,1,12.876436,77.61286409,ANYONE,1,Hulimavu,BOTH,0,1265,1,560076.0,30000,180000,AP
ff80818157a93d400157ad3df96517c7,BHK2,24-03-2017 19:07,2,2,3.0,SEMI_FURNISHED,0,12.87624931,77.60070361,FAMILY,0,Hulimavu,BOTH,0,600,0,560076.0,12000,120000,IF
ff80818157bd3e9a0157bd79b35b0532,BHK3,03-02-2017 12:32,2,4,4.0,SEMI_FURNISHED,1,12.87424663,77.61699288,FAMILY,1,Hulimavu,FOUR_WHEELER,0,1500,1,560068.0,16000,160000,AP
ff80818157d399a40157d63c45cb165c,BHK2,16-03-2017 12:40,2,8,14.0,SEMI_FURNISHED,0,12.87178524,77.59770372,FAMILY,1,Hulimavu,BOTH,0,1021,0,560076.0,21000,160000,AP
ff8081815828c0f20158295c7e7f0a61,BHK2,23-03-2017 17:00,2,1,4.0,SEMI_FURNISHED,0,12.87704095,77.61550576,ANYONE,1,Hulimavu,BOTH,1,1165,0,560076.0,17000,170000,AP
ff808181585268190158574c0fd301cf,BHK2,09-02-2017 12:11,2,9,10.0,SEMI_FURNISHED,1,12.86607603,77.6001201,ANYONE,1,Hulimavu,BOTH,3,1256,1,560076.0,16000,100000,AP
ff80818158526819015857e54c1f2ac4,BHK3,21-02-2017 19:37,3,6,8.0,SEMI_FURNISHED,1,12.8631746,77.6008036,FAMILY,1,Hulimavu,BOTH,0,1520,0,560083.0,20000,200000,AP
ff8081815880273f0158808dc8f21e61,BHK2,22-03-2017 20:58,2,9,10.0,SEMI_FURNISHED,0,12.86585776,77.60022548,FAMILY,1,Hulimavu,BOTH,3,1278,1,560076.0,17000,150000,AP
ff8081815890a6c101589f6698ac00fd,BHK2,20-03-2017 16:15,2,2,3.0,SEMI_FURNISHED,0,12.86585994,77.601336,FAMILY,1,Hulimavu,BOTH,2,1135,0,560078.0,12500,50000,AP
ff80818158a195c70158a46b20b226e8,BHK1,19-02-2017 12:29,1,2,3.0,SEMI_FURNISHED,0,12.8750237,77.6029779,ANYONE,0,Hulimavu,BOTH,2,500,0,560076.0,6000,25000,IF
ff80818158e2fb2a0158e36611af16eb,BHK2,13-02-2017 15:44,1,1,2.0,SEMI_FURNISHED,0,12.86494865,77.60111338,ANYONE,0,Hulimavu,BOTH,0,600,0,560076.0,11000,60000,IF
ff80818158e2fb2a0158e3af63e924ef,BHK1,25-03-2017 15:20,1,1,3.0,SEMI_FURNISHED,0,12.87508972,77.59379755,ANYONE,0,Hulimavu,BOTH,4,550,0,560076.0,10000,75000,IF
ff80818158e4eca20158e7fd51014c4e,BHK2,18-02-2017 18:48,2,0,5.0,SEMI_FURNISHED,0,12.86241008,77.60331273,ANYONE,1,Hulimavu,BOTH,3,1200,0,560076.0,12500,80000,AP
ff808181590163a30159027868473497,BHK2,15-02-2017 23:58,1,1,3.0,SEMI_FURNISHED,0,12.87714617,77.60062582,FAMILY,0,Hulimavu,BOTH,0,600,0,560076.0,12000,100000,IF
ff808181590827850159087aa4b1072e,BHK3,09-02-2017 17:47,3,9,18.0,SEMI_FURNISHED,1,12.87458772,77.62147883,ANYONE,1,Hulimavu,BOTH,0,1892,0,560068.0,25000,200000,AP
ff808181593157ed0159344d690519eb,BHK1,04-02-2017 15:15,1,6,12.0,SEMI_FURNISHED,0,12.8717434,77.59767958,ANYONE,1,Hulimavu,BOTH,2,688,1,560076.0,9500,50000,AP
ff808181594a89df0159598b575f60fc,BHK3,06-03-2017 21:51,3,6,8.0,SEMI_FURNISHED,0,12.86368959,77.59210442,ANYONE,0,Hulimavu,BOTH,4,1700,0,560076.0,20000,200000,AP
ff8081815961d040015963a3817d4704,BHK2,18-02-2017 18:50,1,1,2.0,SEMI_FURNISHED,0,12.88030846,77.5944883,FAMILY,0,Hulimavu,TWO_WHEELER,2,600,0,560076.0,11000,100000,IF
ff8081815961d040015963d3f2a75504,BHK1,21-02-2017 13:09,1,2,3.0,SEMI_FURNISHED,0,12.87892,77.607438,FAMILY,0,Hulimavu,TWO_WHEELER,1,400,0,560076.0,9000,90000,IF
ff8081815961d040015963d6028755ad,BHK2,21-02-2017 13:09,2,0,3.0,SEMI_FURNISHED,0,12.87871344,77.60745409,FAMILY,0,Hulimavu,TWO_WHEELER,1,650,0,560076.0,16000,160000,IF
ff8081815967b3cd015967c3f387024d,BHK2,08-03-2017 21:56,2,2,2.0,SEMI_FURNISHED,1,12.86585471,77.60131857,ANYONE,0,Hulimavu,BOTH,2,980,0,560076.0,12000,50000,IF
ff80818159680e1001596839fa1f0bb7,BHK3,21-02-2017 11:25,3,4,5.0,SEMI_FURNISHED,1,12.87850754,77.59861446,ANYONE,1,Hulimavu,BOTH,3,1450,1,560076.0,17000,100000,AP
ff808181597328cd015973c4413801a6,BHK3,06-02-2017 15:09,3,1,4.0,SEMI_FURNISHED,0,12.85973837,77.6021905,FAMILY,0,Hulimavu,BOTH,1,1610,0,560076.0,23000,230000,AP
ff808181597a492301597e0dd1a36816,BHK1,06-02-2017 14:50,1,1,3.0,SEMI_FURNISHED,0,12.87472556,77.59623171,ANYONE,0,Hulimavu,BOTH,1,550,0,560076.0,9000,90000,IF
ff808181598370eb015986d0ba610061,BHK2,13-03-2017 18:14,2,0,3.0,SEMI_FURNISHED,0,12.862431,77.603302,FAMILY,1,Hulimavu,BOTH,4,1058,0,560076.0,12500,125000,AP
