property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff80808149393cef01495ecb346b1555,BHK3,13-02-2017 16:38,3,1,2.0,SEMI_FURNISHED,1,12.90689744,77.57634418,FAMILY,1,JP Nagar,BOTH,8,1450,0,560078.0,30000,300000,AP
ff8080814b6ecf31014b775b5cb10808,BHK3,24-03-2017 19:19,2,4,14.0,SEMI_FURNISHED,1,12.87347564,77.57264831,FAMILY,1,JP Nagar,BOTH,3,1645,1,560062.0,25000,250000,AP
ff8081814bd62607014be86523792058,BHK1,14-03-2017 13:55,1,0,0.0,SEMI_FURNISHED,0,12.91069754,77.58606549,FAMILY,0,JP Nagar,TWO_WHEELER,1,600,0,560076.0,9000,70000,IH
ff8081814c58efc3014c5ec772360eea,BHK2,24-02-2017 11:41,2,1,2.0,SEMI_FURNISHED,0,12.90146029,77.59035869,ANYONE,0,JP Nagar,BOTH,7,950,0,560078.0,13000,130000,IF
ff8081814c58efc3014c64523f4a2060,BHK1,22-03-2017 13:58,1,1,3.0,SEMI_FURNISHED,0,12.91168567,77.57321387,ANYONE,0,JP Nagar,TWO_WHEELER,8,450,0,560082.0,6000,60000,IF
ff8081814c7b6d96014c7ef0000908c4,BHK1,02-02-2017 16:23,1,3,3.0,SEMI_FURNISHED,0,12.8953572,77.5859885,FAMILY,0,JP Nagar,BOTH,0,620,0,560078.0,9500,40000,AP
ff8081814c82a716014c83a1cfe804d8,BHK3,07-03-2017 12:19,3,0,1.0,NOT_FURNISHED,0,12.87781919,77.5834322,FAMILY,0,JP Nagar,BOTH,4,1400,0,560076.0,13500,100000,IH
ff8081814c82a716014c83d3424805c9,BHK2,04-03-2017 13:45,2,1,2.0,SEMI_FURNISHED,0,12.91204555,77.58989754,FAMILY,0,JP Nagar,BOTH,1,660,0,560078.0,12000,110000,IF
ff8081814c85ba5d014c87d0ade401d6,BHK2,30-03-2017 18:58,2,2,3.0,SEMI_FURNISHED,0,12.88808384,77.5814262,FAMILY,1,JP Nagar,BOTH,1,825,0,560078.0,16000,160000,IF
ff8081814c923ee1014c928715b0018f,BHK2,25-02-2017 21:27,2,1,2.0,SEMI_FURNISHED,0,12.90965893,77.58159452,ANYONE,0,JP Nagar,TWO_WHEELER,12,1100,0,560078.0,18500,150000,IF
ff8081814c971e8a014c987573a605fe,BHK2,18-02-2017 19:32,1,0,3.0,SEMI_FURNISHED,0,12.88769225,77.58163553,ANYONE,0,JP Nagar,TWO_WHEELER,1,600,0,560078.0,11000,100000,IF
ff8081814cb771fb014cbb4a1a9109d5,BHK2,16-03-2017 13:52,2,2,2.0,SEMI_FURNISHED,0,12.910491,77.5857168,ANYONE,0,JP Nagar,BOTH,0,780,0,560076.0,8000,50000,IF
ff8081814cb771fb014cbcda7b4d12c9,BHK1,30-03-2017 14:36,1,0,4.0,SEMI_FURNISHED,0,12.90167328,77.59705059,ANYONE,0,JP Nagar,BOTH,1,600,0,560076.0,10500,105000,AP
ff8081814cb771fb014cbcdd910d12df,BHK2,30-03-2017 14:35,2,1,4.0,SEMI_FURNISHED,0,12.90182753,77.5948096,ANYONE,0,JP Nagar,BOTH,1,800,0,560078.0,16000,160000,IF
ff8081814cb771fb014cbce3af4712fb,BHK3,30-03-2017 14:36,3,1,3.0,SEMI_FURNISHED,0,12.90183799,77.59431474,ANYONE,0,JP Nagar,BOTH,2,1600,0,560078.0,16000,160000,IF
ff8081814cd0f416014cd135498d0187,BHK1,26-02-2017 09:54,1,1,,SEMI_FURNISHED,0,12.91472984,77.58634977,FAMILY,0,JP Nagar,TWO_WHEELER,10,550,0,,8000,60000,
ff8081814cd1bbeb014cd6ac0049114d,BHK3,21-02-2017 15:07,3,1,3.0,SEMI_FURNISHED,0,12.87087371,77.58347549,FAMILY,0,JP Nagar,FOUR_WHEELER,1,1700,0,560076.0,15000,150000,IF
ff8081814d6c3d8d014d6fc836480c51,BHK1,24-02-2017 10:57,1,0,2.0,SEMI_FURNISHED,0,12.87173942,77.57150033,ANYONE,0,JP Nagar,TWO_WHEELER,1,600,0,560062.0,7500,70000,IF
ff8081814d6c3d8d014d74be5f9f2591,BHK2,22-02-2017 14:21,2,1,3.0,SEMI_FURNISHED,0,12.89838759,77.57121992,ANYONE,1,JP Nagar,BOTH,7,1075,0,560078.0,13500,75000,AP
ff8081814da52206014da9e90c611a57,BHK3,07-02-2017 15:58,3,0,3.0,SEMI_FURNISHED,0,12.86499229,77.56081061,FAMILY,1,JP Nagar,BOTH,5,1570,1,560062.0,12000,120000,AP
ff8081814da52206014da9edc8181a88,BHK2,07-02-2017 15:58,2,1,3.0,SEMI_FURNISHED,0,12.86489415,77.56064882,FAMILY,1,JP Nagar,BOTH,6,1311,1,560062.0,10000,100000,AP
ff8081814ddc8006014de62305cb3b54,BHK1,22-03-2017 11:24,1,2,2.0,SEMI_FURNISHED,0,12.90683338,77.5758359,ANYONE,0,JP Nagar,TWO_WHEELER,10,500,0,560078.0,7500,75000,IF
ff8081814e0581dc014e0b42b1cd279c,BHK3,24-02-2017 14:41,3,1,2.0,SEMI_FURNISHED,0,12.91390393,77.59455063,FAMILY,0,JP Nagar,BOTH,0,1200,0,560078.0,15000,120000,IF
ff8081814e245dd4014e3034e79f589f,BHK3,28-03-2017 11:09,3,1,2.0,SEMI_FURNISHED,0,12.910491,77.5857168,FAMILY,0,JP Nagar,TWO_WHEELER,3,1500,0,560078.0,30000,300000,AP
ff8081814eaa458d014eaa8b18c6035f,BHK2,22-03-2017 20:49,2,3,5.0,SEMI_FURNISHED,1,12.87839177,77.5806668,FAMILY,1,JP Nagar,BOTH,1,1123,0,560078.0,16000,160000,AP
ff8081814ebf8598014ebfd8d76b0329,BHK1,04-03-2017 12:28,1,0,3.0,SEMI_FURNISHED,0,12.88799368,77.59225563,FAMILY,0,JP Nagar,TWO_WHEELER,1,650,0,560076.0,9000,40000,AP
ff8081814ec545f7014ec90bfaee114c,BHK2,21-02-2017 16:42,1,1,2.0,SEMI_FURNISHED,0,12.91097078,77.57658355,ANYONE,0,JP Nagar,TWO_WHEELER,2,800,0,560078.0,13000,100000,IF
ff8081814ef4e1d6014efbf55e1f20ee,BHK1,02-02-2017 14:25,1,1,1.0,SEMI_FURNISHED,0,12.91074134,77.57869292,FAMILY,0,JP Nagar,TWO_WHEELER,11,650,0,560078.0,7000,70000,IF
ff8081814efee247014f01a13b8f081f,BHK2,22-03-2017 12:05,1,2,2.0,SEMI_FURNISHED,0,12.88740202,77.58155507,ANYONE,0,JP Nagar,TWO_WHEELER,4,700,0,560078.0,11500,115000,IF
ff8081814efee247014f030a11ee1705,BHK2,18-03-2017 11:42,2,1,2.0,NOT_FURNISHED,0,12.90560593,77.58800519,FAMILY,0,JP Nagar,BOTH,5,1000,0,560078.0,15000,1200000,AP
ff8081814f2372af014f270fb8561283,BHK2,15-02-2017 18:25,2,0,2.0,SEMI_FURNISHED,0,12.87343295,77.58345736,ANYONE,0,JP Nagar,BOTH,3,1400,0,560076.0,16000,160000,IF
ff8081814f35a618014f3a26d4291493,BHK3,21-03-2017 10:31,3,0,1.0,SEMI_FURNISHED,0,12.88728959,77.5815202,FAMILY,0,JP Nagar,BOTH,5,2200,0,560078.0,32000,320000,IH
ff8081814fad0299014fad19a4bb00ea,BHK1,26-03-2017 18:43,1,1,3.0,SEMI_FURNISHED,0,12.90574352,77.58554947,ANYONE,0,JP Nagar,BOTH,1,550,0,560078.0,8700,50000,IF
ff8081814fb63deb014fc216de2848ff,BHK2,15-03-2017 15:43,1,1,2.0,NOT_FURNISHED,0,12.90264441,77.57472044,FAMILY,0,JP Nagar,BOTH,6,550,0,560078.0,9000,60000,AP
ff8081814fd985a6014fd9d1cc9e0314,BHK3,14-03-2017 16:21,3,2,3.0,SEMI_FURNISHED,1,12.86465155,77.56181644,ANYONE,1,JP Nagar,BOTH,3,1471,1,560062.0,14000,140000,AP
ff8081814ffe5b3301500e3c339168f8,BHK2,27-02-2017 15:09,2,3,4.0,SEMI_FURNISHED,0,12.87621159,77.5826079,FAMILY,0,JP Nagar,BOTH,2,1000,0,560076.0,12000,100000,AP
ff808181502a129c01502c63e6080867,BHK1,22-03-2017 19:56,1,0,4.0,SEMI_FURNISHED,0,12.90009942,77.58548444,ANYONE,0,JP Nagar,TWO_WHEELER,1,450,0,560078.0,8300,40000,IF
ff808181504c8048015051cb483f2850,BHK2,18-02-2017 17:51,1,1,1.0,SEMI_FURNISHED,0,12.910491,77.5857168,ANYONE,0,JP Nagar,BOTH,2,800,0,560078.0,17000,170000,IF
ff8081815070011601507062aab005a3,BHK3,21-03-2017 11:03,3,0,3.0,NOT_FURNISHED,0,12.86868417,77.56775135,ANYONE,0,JP Nagar,BOTH,0,2500,0,560062.0,18000,100000,IF
ff80818150b545ca0150b8b6b1d92db7,BHK2,18-02-2017 19:14,1,0,2.0,SEMI_FURNISHED,0,12.9105234,77.58997521,BACHELOR,0,JP Nagar,TWO_WHEELER,20,710,0,560078.0,16000,160000,IF
ff80818150c1cfb00150c28a61240864,BHK2,10-02-2017 16:21,2,2,2.0,SEMI_FURNISHED,0,12.90281419,77.58645837,FAMILY,0,JP Nagar,TWO_WHEELER,8,600,0,560078.0,12000,100000,IF
ff808181513afb1d01513d38ffab06c3,BHK1,18-03-2017 18:49,1,1,3.0,SEMI_FURNISHED,0,12.9030157,77.5830795,ANYONE,0,JP Nagar,TWO_WHEELER,1,500,0,560078.0,8000,50000,IF
