property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8080814a52854b014a5d6f39310977,BHK2,21-03-2017 10:39,2,1,1.0,SEMI_FURNISHED,0,13.01022791,77.70186683,FAMILY,0,K.R Puram,BOTH,18,720,0,560036.0,13000,130000,IF
ff8081814c2dea94014c4a50fb024576,BHK2,05-03-2017 14:20,2,0,1.0,SEMI_FURNISHED,0,13.02287738,77.70667907,FAMILY,0,K.R Puram,BOTH,3,1000,0,560049.0,13000,130000,IH
ff8081814d38c1d7014d395e15820395,BHK3,12-02-2017 15:07,2,0,2.0,NOT_FURNISHED,0,13.00481907,77.7124089,ANYONE,0,K.R Puram,BOTH,0,1500,0,560049.0,8000,48000,IF
ff8081814d76c9df014d84867a944cd2,BHK1,22-03-2017 18:50,1,1,2.0,SEMI_FURNISHED,0,12.99740871,77.73187685,FAMILY,0,K.R Puram,TWO_WHEELER,3,840,0,560067.0,9000,40000,IF
ff80818151fd510e015200d5b98a0cb2,BHK2,11-02-2017 21:27,2,3,3.0,SEMI_FURNISHED,0,13.00818485,77.71549246,FAMILY,0,K.R Puram,BOTH,2,700,0,560049.0,9000,40000,IF
ff8081815322acc501533b0158ec7b13,BHK2,13-02-2017 20:43,2,1,2.0,NOT_FURNISHED,0,13.00646229,77.70465161,ANYONE,0,K.R Puram,TWO_WHEELER,1,850,0,560036.0,8000,50000,IF
ff8081815356e4c10153579d6cb10681,BHK2,22-03-2017 23:34,2,1,2.0,SEMI_FURNISHED,0,13.02462868,77.71590507,FAMILY,0,K.R Puram,TWO_WHEELER,4,1100,0,560049.0,12500,80000,AP
ff8081815373f3bb015375105d581e28,BHK2,30-03-2017 14:57,2,1,2.0,SEMI_FURNISHED,0,13.01166786,77.70495853,FAMILY,0,K.R Puram,BOTH,8,1000,0,560036.0,15000,90000,IF
ff80818153d5d2420153d6908f1e14b3,BHK2,16-02-2017 19:06,2,2,4.0,SEMI_FURNISHED,0,13.00771729,77.6939928,FAMILY,0,K.R Puram,TWO_WHEELER,5,1100,0,560036.0,13500,135000,IF
ff80818154d230860154d366d0f0234c,BHK1,15-02-2017 11:33,1,2,2.0,SEMI_FURNISHED,0,13.00411754,77.70985603,ANYONE,0,K.R Puram,BOTH,5,700,0,560036.0,7500,75000,IF
ff8081815672ecad015674464b534ed8,BHK1,08-03-2017 13:57,1,3,3.0,SEMI_FURNISHED,0,13.00486611,77.712425,FAMILY,0,K.R Puram,TWO_WHEELER,10,500,0,560049.0,8000,80000,AP
ff8081815746820a01574792ebc03bb1,RK1,22-02-2017 11:47,1,0,3.0,SEMI_FURNISHED,0,13.00517088,77.69709019,BACHELOR,0,K.R Puram,BOTH,2,140,0,560036.0,3500,21000,IF
ff808181574da2670157515aeddf6570,BHK2,28-03-2017 18:10,2,1,2.0,SEMI_FURNISHED,0,13.01260501,77.70961969,FAMILY,0,K.R Puram,TWO_WHEELER,0,1200,0,560049.0,10000,100000,IF
ff80818157768cf801577b06d39f0606,BHK3,14-03-2017 18:25,3,0,5.0,SEMI_FURNISHED,1,13.00520713,77.71479308,FAMILY,1,K.R Puram,BOTH,0,1827,1,560036.0,25000,250000,AP
ff808181579035d101579312905b194b,BHK2,08-02-2017 17:11,2,0,1.0,SEMI_FURNISHED,0,13.01633072,77.71545217,FAMILY,0,K.R Puram,TWO_WHEELER,2,1200,0,560049.0,14000,140000,IF
