property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814ca1cc06014ca7c86f741770,BHK1,25-03-2017 15:58,1,2,3.0,SEMI_FURNISHED,0,13.00026252,77.76286261,ANYONE,0,Kadugodi,TWO_WHEELER,1,550,0,560067.0,6800,25000,IF
ff8081814cee6912014cf022d62d0cb0,BHK2,18-02-2017 19:42,1,2,2.0,SEMI_FURNISHED,0,12.99308,77.7483696,FAMILY,0,Kadugodi,TWO_WHEELER,0,900,0,560067.0,10000,40000,IF
ff8081814cf0d662014cf57243aa13b1,BHK2,04-03-2017 10:51,2,3,4.0,SEMI_FURNISHED,0,13.00388087,77.75267957,FAMILY,0,Kadugodi,TWO_WHEELER,1,1150,0,560067.0,12000,80000,AP
ff8081814cff7251014d0f36a0ee4250,BHK2,10-02-2017 23:43,2,1,3.0,SEMI_FURNISHED,0,13.00228014,77.66775013,FAMILY,0,Kadugodi,BOTH,2,700,0,560067.0,11000,55000,IF
ff8081814d38c1d7014d3d3851ec1379,BHK2,15-02-2017 18:19,2,0,1.0,SEMI_FURNISHED,0,12.9979261,77.75899711,FAMILY,0,Kadugodi,BOTH,10,990,0,560067.0,13500,120000,IF
ff8081814dd1ff61014dd274a7e204fa,RK1,02-02-2017 12:58,1,2,4.0,SEMI_FURNISHED,0,12.997325,77.75935117,ANYONE,0,Kadugodi,BOTH,1,800,0,560067.0,8500,25000,AP
ff8081814ef4e1d6014efc81d60227c2,BHK3,04-02-2017 15:16,4,5,15.0,SEMI_FURNISHED,1,12.99291273,77.74803164,FAMILY,1,Kadugodi,BOTH,1,1865,1,560067.0,25000,150000,AP
ff8081814f0cb8cb014f0d9f73650916,BHK3,28-03-2017 11:09,3,8,9.0,SEMI_FURNISHED,1,13.00786729,77.75423415,FAMILY,1,Kadugodi,BOTH,5,1830,1,560067.0,21000,100000,AP
ff8081814f1ce4a7014f2075aa5e0c0d,BHK1,28-03-2017 16:15,1,0,4.0,SEMI_FURNISHED,0,12.98417975,77.76250344,ANYONE,0,Kadugodi,BOTH,0,550,0,560066.0,6500,20000,AP
ff8081814f1ce4a7014f20b0e0e70e68,BHK1,17-03-2017 14:31,1,3,3.0,SEMI_FURNISHED,0,12.99746612,77.75903466,ANYONE,0,Kadugodi,TWO_WHEELER,3,800,0,560067.0,10000,35000,IF
ff8081814f3486ae014f35312ebc0557,BHK3,12-03-2017 11:59,3,1,13.0,SEMI_FURNISHED,1,13.01398701,77.76221314,FAMILY,1,Kadugodi,BOTH,5,1632,1,560067.0,25000,200000,AP
ff8081814f7274d3014f789a57192479,BHK2,30-03-2017 16:56,2,1,2.0,SEMI_FURNISHED,0,12.9884045,77.7676535,FAMILY,0,Kadugodi,BOTH,2,650,0,560067.0,11000,50000,IF
ff8081814fb63c61014fb6bcfe690535,BHK2,26-02-2017 22:45,1,1,3.0,SEMI_FURNISHED,0,12.99660511,77.76124134,ANYONE,0,Kadugodi,TWO_WHEELER,7,900,0,560067.0,8000,40000,IF
ff808181507fb8e6015080707113110e,RK1,04-02-2017 11:40,1,1,1.0,SEMI_FURNISHED,0,12.98573335,77.74202505,BACHELOR,0,Kadugodi,TWO_WHEELER,15,700,0,560066.0,10000,20000,IF
ff8081815149508101515cf29e462983,BHK1,07-03-2017 12:10,1,0,0.0,SEMI_FURNISHED,0,12.99726371,77.75941744,ANYONE,0,Kadugodi,TWO_WHEELER,1,400,0,560067.0,7000,50000,IH
