property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814cd15f41014cd1911acf0124,BHK1,14-03-2017 16:28,1,0,1.0,NOT_FURNISHED,0,12.87913904,77.56739625,FAMILY,0,Konanakunte,TWO_WHEELER,0,350,0,560062.0,6000,60000,IF
ff8081814d1d3b17014d1d6750b80134,BHK2,22-02-2017 12:37,2,4,,SEMI_FURNISHED,0,12.8857037,77.566548,FAMILY,0,Konanakunte,BOTH,3,1000,0,560062.0,13000,100000,
ff8081814d374bfc014d374c8f510006,BHK1,05-03-2017 10:53,1,0,3.0,FULLY_FURNISHED,0,12.88227076,77.56440456,FAMILY,0,Konanakunte,TWO_WHEELER,0,600,0,560062.0,6500,60000,IF
ff8081814d93878a014d93fb6ded03d2,BHK3,08-02-2017 19:06,3,0,2.0,SEMI_FURNISHED,0,12.89037773,77.56702351,FAMILY,0,Konanakunte,BOTH,4,1400,0,560062.0,12000,120000,IF
ff8081814de81414014df6335d716203,BHK2,06-03-2017 15:10,2,2,4.0,SEMI_FURNISHED,1,12.88220755,77.55603871,ANYONE,1,Konanakunte,BOTH,1,1250,0,560062.0,15000,150000,AP
ff8081814e5cc5af014e5ded0a7e1332,BHK2,05-03-2017 19:16,1,2,3.0,SEMI_FURNISHED,0,12.88243443,77.56524307,FAMILY,0,Konanakunte,TWO_WHEELER,2,800,0,560062.0,10000,100000,IF
ff8081814f505a4d014f5098ff2d0218,BHK3,12-02-2017 16:44,2,0,3.0,SEMI_FURNISHED,1,12.88210344,77.55661148,ANYONE,1,Konanakunte,BOTH,1,1400,0,560062.0,18000,180000,AP
ff8081814f6d2e5f014f6d9d6dbd032c,BHK2,15-03-2017 18:01,2,0,3.0,SEMI_FURNISHED,0,12.87605849,77.56161613,FAMILY,0,Konanakunte,BOTH,4,635,0,560062.0,8500,85000,IF
ff8081814fb63c61014fca20f814081b,BHK3,20-02-2017 18:38,3,1,4.0,SEMI_FURNISHED,0,12.89618358,77.56557302,FAMILY,1,Konanakunte,BOTH,7,1560,0,560078.0,20000,150000,AP
ff808181504c804801505233c7c72cc4,BHK2,07-02-2017 15:36,2,1,3.0,SEMI_FURNISHED,0,12.88240215,77.56711933,ANYONE,0,Konanakunte,BOTH,0,1050,0,560062.0,10000,100000,AP
ff80818150dc3c000150e22681952a73,BHK2,26-03-2017 13:29,2,1,4.0,SEMI_FURNISHED,1,12.87481499,77.55530548,FAMILY,1,Konanakunte,BOTH,1,1100,1,,12000,120000,AP
ff80818151494edc0151530cf9495323,BHK3,27-03-2017 17:57,3,0,3.0,SEMI_FURNISHED,0,12.88089913,77.55623412,FAMILY,0,Konanakunte,BOTH,0,1100,0,560062.0,12500,125000,AP
ff80818151494edc0151530f2700534d,BHK1,27-03-2017 17:56,1,2,3.0,SEMI_FURNISHED,0,12.88086252,77.55625021,ANYONE,0,Konanakunte,TWO_WHEELER,0,350,0,560062.0,6500,65000,AP
ff80818151c527320151c840d2560fb8,BHK1,19-02-2017 12:27,1,3,3.0,NOT_FURNISHED,0,12.89183223,77.57118221,FAMILY,0,Konanakunte,TWO_WHEELER,3,600,0,560078.0,5500,55000,IF
ff80818151cdaeb30151d2affe962917,RK1,19-02-2017 10:51,1,0,2.0,NOT_FURNISHED,0,12.89210415,77.57152821,ANYONE,0,Konanakunte,TWO_WHEELER,10,200,0,560078.0,3500,30000,IF
ff80818151ee38d20151f13058910c8a,BHK1,18-03-2017 16:39,1,0,2.0,NOT_FURNISHED,0,12.89202571,77.57164623,FAMILY,0,Konanakunte,TWO_WHEELER,5,450,0,560078.0,5000,50000,IF
ff80818151f7185f0151f7406ae60213,BHK2,26-03-2017 10:30,2,1,4.0,SEMI_FURNISHED,0,12.87902072,77.55628941,FAMILY,1,Konanakunte,BOTH,4,1260,0,560062.0,12000,120000,AP
ff808181529bf93401529cbbaae709b0,BHK2,23-02-2017 19:23,2,2,3.0,SEMI_FURNISHED,0,12.88367586,77.56634749,FAMILY,0,Konanakunte,TWO_WHEELER,1,900,0,560062.0,12000,120000,IF
ff808181529bfefb01529cb8add60c36,BHK1,23-02-2017 19:24,1,3,3.0,SEMI_FURNISHED,0,12.88370985,77.56633676,ANYONE,0,Konanakunte,TWO_WHEELER,1,500,0,560062.0,7000,70000,IF
ff80818152cbb4b40152ceb68f060ef9,BHK3,03-03-2017 17:47,3,0,1.0,SEMI_FURNISHED,0,12.88230998,77.56421144,ANYONE,0,Konanakunte,BOTH,0,1400,0,560062.0,16000,150000,IH
ff80818152ef3fae0152f2f8753d191b,BHK3,05-02-2017 19:43,3,1,4.0,SEMI_FURNISHED,0,12.88208727,77.55571148,FAMILY,1,Konanakunte,BOTH,4,1720,0,560062.0,20000,200000,AP
ff808181538513c50153881949a31186,BHK2,10-03-2017 14:45,1,2,2.0,SEMI_FURNISHED,0,12.88493376,77.56727118,FAMILY,0,Konanakunte,TWO_WHEELER,3,600,0,560062.0,7500,75000,IF
ff808181551131c101552557b1ac2417,BHK2,16-02-2017 12:46,2,1,2.0,SEMI_FURNISHED,0,12.88257733,77.56667945,FAMILY,0,Konanakunte,TWO_WHEELER,2,1250,0,560062.0,16000,160000,IF
ff8081815612229e0156125ae464159e,BHK2,17-02-2017 12:38,2,1,2.0,SEMI_FURNISHED,0,12.89324876,77.56410487,FAMILY,0,Konanakunte,BOTH,1,1100,0,560078.0,20000,200000,IF
ff8081815612f2d6015616a7d70e6ed6,BHK3,18-03-2017 15:32,2,2,4.0,SEMI_FURNISHED,1,12.89335621,77.56528039,ANYONE,1,Konanakunte,BOTH,2,1200,1,560076.0,12000,100000,AP
ff808181568dbe1d015691fabd11480b,BHK2,23-03-2017 00:07,2,0,4.0,SEMI_FURNISHED,0,12.89354121,77.56652759,ANYONE,0,Konanakunte,BOTH,3,1200,0,560078.0,15000,150000,IF
ff80818156c247750156c24d9a040147,BHK3,09-02-2017 11:51,3,2,3.0,SEMI_FURNISHED,0,12.88559502,77.55657943,ANYONE,0,Konanakunte,TWO_WHEELER,6,1200,0,560062.0,11000,100000,IF
ff80818156e108750156e47d410a3043,BHK3,11-02-2017 17:30,3,1,2.0,SEMI_FURNISHED,0,12.8850432,77.5705474,ANYONE,0,Konanakunte,BOTH,0,1600,0,560078.0,15000,150000,IF
ff808181580045df01580066356c068c,BHK2,12-02-2017 13:11,2,0,2.0,SEMI_FURNISHED,0,12.88331363,77.56582644,ANYONE,0,Konanakunte,TWO_WHEELER,6,1100,0,560062.0,14000,140000,IF
ff8081815804dfd40158053cb2ec1162,BHK2,04-03-2017 12:49,2,5,5.0,SEMI_FURNISHED,1,12.88405306,77.54851417,FAMILY,1,Konanakunte,BOTH,3,1200,0,560062.0,13000,150000,IF
ff808181588627250158865ae9ff0b30,BHK2,14-03-2017 15:42,2,2,3.0,SEMI_FURNISHED,0,12.88539517,77.56701739,ANYONE,0,Konanakunte,BOTH,0,800,0,560062.0,11000,100000,IF
ff808181588627250158865cad8d0b98,BHK3,14-03-2017 15:41,3,2,4.0,SEMI_FURNISHED,0,12.88502384,77.56736119,ANYONE,0,Konanakunte,BOTH,0,1600,0,560062.0,18000,180000,IF
ff808181588627250158865ef1bb0bf3,BHK4,14-03-2017 15:41,3,0,3.0,SEMI_FURNISHED,0,12.88578998,77.56639243,ANYONE,0,Konanakunte,BOTH,0,1800,0,560062.0,22000,220000,IF
ff80818158b3d61e0158bdbafedf0773,BHK2,14-02-2017 19:20,2,2,2.0,SEMI_FURNISHED,0,12.88396939,77.56116384,ANYONE,0,Konanakunte,TWO_WHEELER,2,600,0,560062.0,6500,50000,IF
ff808181591c737401591ffb768b3856,RK1,05-02-2017 19:13,1,1,1.0,SEMI_FURNISHED,0,12.88270785,77.56632666,BACHELOR,0,Konanakunte,TWO_WHEELER,0,250,0,560062.0,5000,50000,IF
ff808181592b771e01592ef9a52e40f9,BHK2,16-03-2017 20:23,2,2,2.0,NOT_FURNISHED,0,12.88437206,77.5670198,FAMILY,1,Konanakunte,BOTH,0,850,0,560062.0,15000,150000,IF
ff80818159410eeb0159444e297b3839,BHK4,25-03-2017 14:11,3,0,3.0,SEMI_FURNISHED,0,12.88533316,77.56722223,ANYONE,0,Konanakunte,BOTH,1,2300,0,560062.0,23000,230000,IF
ff80818159410eeb0159444fe70838ac,BHK3,25-03-2017 14:09,3,0,3.0,SEMI_FURNISHED,0,12.88552067,77.56621809,FAMILY,0,Konanakunte,BOTH,1,1800,0,560062.0,19000,190000,IF
ff808181597010850159723a703b1161,BHK2,03-03-2017 11:03,2,1,4.0,SEMI_FURNISHED,0,12.88554179,77.57335377,FAMILY,1,Konanakunte,FOUR_WHEELER,1,1100,1,560062.0,14000,140000,AP
