property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814c82a716014c82da24ed00b7,BHK3,12-03-2017 17:40,2,3,4.0,SEMI_FURNISHED,0,12.98945334,77.6896433,FAMILY,0,Mahadevapura,TWO_WHEELER,3,1110,0,560048.0,19500,160000,IF
ff8081814c85ba5d014c8848cfd4045b,BHK3,30-03-2017 18:57,2,17,19.0,SEMI_FURNISHED,1,12.99009228,77.70386505,BACHELOR,1,Mahadevapura,BOTH,5,1690,1,560048.0,11000,60000,AP
ff8081814c89e06f014c8d258c7804fc,BHK2,09-03-2017 12:41,2,0,2.0,SEMI_FURNISHED,0,12.98717428,77.68449787,FAMILY,0,Mahadevapura,BOTH,5,1200,0,560093.0,20000,200000,IF
ff8081814cb771fb014ccc0a35304270,BHK2,21-02-2017 19:35,2,0,1.0,SEMI_FURNISHED,0,12.9841435,77.6892771,FAMILY,0,Mahadevapura,BOTH,0,1250,0,560048.0,22000,220000,IF
ff8081814cdb1b56014cdb922953037f,BHK1,28-03-2017 16:40,1,1,2.0,NOT_FURNISHED,0,12.9924266,77.67511777,ANYONE,0,Mahadevapura,TWO_WHEELER,7,500,0,560016.0,5000,50000,IF
ff8081814d28f714014d31b4bd0b1f88,BHK3,25-03-2017 15:40,3,4,4.0,SEMI_FURNISHED,1,12.99496006,77.68805365,FAMILY,1,Mahadevapura,BOTH,6,1685,1,560048.0,21000,150000,AP
ff8081814d94ab61014d98c50cbc1607,BHK2,01-02-2017 17:36,2,3,3.0,SEMI_FURNISHED,0,12.99068048,77.6838321,FAMILY,0,Mahadevapura,BOTH,3,1000,0,560048.0,18500,185000,AP
ff8081814db850bd014db95f63cc0c6c,BHK2,28-03-2017 11:51,2,6,8.0,SEMI_FURNISHED,1,12.99900627,77.67518616,FAMILY,1,Mahadevapura,BOTH,1,1310,0,560016.0,24000,200000,AP
ff8081814e0581dc014e0bba39fe2cdb,BHK1,20-03-2017 17:33,1,2,4.0,SEMI_FURNISHED,0,12.98759673,77.69057844,ANYONE,0,Mahadevapura,TWO_WHEELER,3,338,0,560048.0,8500,40000,AP
ff8081814e245dd4014e2e703b634482,BHK1,09-02-2017 20:09,1,3,4.0,SEMI_FURNISHED,0,12.98920505,77.68934423,FAMILY,0,Mahadevapura,TWO_WHEELER,3,600,0,560048.0,11000,50000,IF
ff8081814e53f3fb014e54a69b47069f,BHK2,04-03-2017 22:24,2,0,3.0,SEMI_FURNISHED,0,12.99755338,77.68912202,FAMILY,0,Mahadevapura,TWO_WHEELER,4,900,0,560048.0,16000,100000,IF
ff8081814f2372af014f26dc98341069,BHK2,12-03-2017 11:24,2,7,7.0,FULLY_FURNISHED,1,12.99136981,77.70267037,ANYONE,1,Mahadevapura,BOTH,5,1290,1,560048.0,38000,300000,AP
ff8081814f2372af014f2700c59f11f2,BHK2,07-03-2017 20:30,2,0,2.0,SEMI_FURNISHED,0,12.99082782,77.68691341,FAMILY,0,Mahadevapura,BOTH,8,900,0,,16000,100000,AP
ff8081814f3b924a014f3bb6622a0185,RK1,26-02-2017 17:52,1,3,3.0,SEMI_FURNISHED,0,12.99040991,77.68914709,ANYONE,0,Mahadevapura,TWO_WHEELER,2,550,0,560048.0,8000,50000,AP
ff8081814f79be78014f7f143ad51eae,BHK3,02-03-2017 17:34,3,1,13.0,SEMI_FURNISHED,1,12.99363613,77.68384109,FAMILY,1,Mahadevapura,BOTH,5,1615,1,560016.0,26500,200000,AP
ff8081814fcb665a014fcfdc13551b52,RK1,09-03-2017 16:31,1,2,2.0,SEMI_FURNISHED,0,12.99020864,77.68902997,BACHELOR,0,Mahadevapura,TWO_WHEELER,2,400,0,560048.0,6500,40000,IF
ff8081814ffe5b33015003b1913020f6,BHK1,27-02-2017 17:50,1,2,2.0,SEMI_FURNISHED,0,12.9913296,77.66892851,FAMILY,0,Mahadevapura,TWO_WHEELER,1,600,0,560016.0,12000,120000,IF
ff808181501753c601501758bade0021,BHK2,04-03-2017 17:17,1,1,1.0,SEMI_FURNISHED,0,12.99162258,77.68754671,FAMILY,0,Mahadevapura,TWO_WHEELER,8,550,0,560016.0,10000,100000,IF
ff808181504c8048015050e8218a1a64,BHK1,05-03-2017 15:12,1,1,4.0,SEMI_FURNISHED,0,12.99349025,77.70220369,FAMILY,0,Mahadevapura,TWO_WHEELER,0,500,0,560048.0,12000,70000,AP
ff8081815067173201506b12de0614e9,BHK2,17-02-2017 17:54,3,0,3.0,SEMI_FURNISHED,0,12.98788701,77.69858019,ANYONE,0,Mahadevapura,BOTH,0,2400,0,560048.0,28000,125000,AP
ff80818150c1cfb00150c8a3dafa3180,BHK1,02-03-2017 20:09,1,1,2.0,SEMI_FURNISHED,0,12.98878082,77.67441735,ANYONE,0,Mahadevapura,TWO_WHEELER,1,400,0,560016.0,6000,400000,IF
ff80818151ae8c4e0151af884666104f,BHK2,09-02-2017 20:03,2,0,4.0,SEMI_FURNISHED,0,12.99298497,77.68057174,ANYONE,0,Mahadevapura,TWO_WHEELER,1,1000,0,560016.0,25000,150000,IF
