property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bc25254014bc969b3e10902,BHK2,07-03-2017 19:24,2,0,1.0,SEMI_FURNISHED,0,12.94803911,77.7136644,FAMILY,0,Munnekollal,TWO_WHEELER,6,1300,0,560066.0,18000,180000,IF
ff8081814c9d8c0c014c9da3a67c006c,BHK2,27-02-2017 13:35,2,2,5.0,SEMI_FURNISHED,1,12.9552177,77.70548255,ANYONE,1,Munnekollal,BOTH,6,1365,0,560037.0,20000,200000,AP
ff8081814cff7251014d08f29fa825df,BHK1,10-02-2017 19:04,1,3,3.0,SEMI_FURNISHED,0,12.94462803,77.70909196,FAMILY,0,Munnekollal,TWO_WHEELER,4,600,0,,8000,40000,IF
ff8081814d4b859b014d5298ee4028b1,BHK1,20-02-2017 14:45,2,4,4.0,SEMI_FURNISHED,0,12.95211351,77.70771542,ANYONE,0,Munnekollal,TWO_WHEELER,0,550,0,560037.0,11000,80000,IF
ff8081814d891540014d8a76f9c00cd6,BHK2,09-02-2017 19:53,2,1,9.0,SEMI_FURNISHED,1,12.95269054,77.71674562,FAMILY,1,Munnekollal,BOTH,9,1200,1,560066.0,26000,260000,AP
ff8081814e245dd4014e2e50fa934320,BHK3,28-02-2017 12:23,3,1,2.0,SEMI_FURNISHED,1,12.94974278,77.71455362,FAMILY,1,Munnekollal,BOTH,2,1260,0,560037.0,20000,100000,AP
ff8081814e322687014e3506a5991999,BHK1,20-03-2017 17:37,1,3,3.0,SEMI_FURNISHED,0,12.94404771,77.70930654,ANYONE,0,Munnekollal,TWO_WHEELER,5,350,0,560037.0,8500,40000,IF
ff8081814fe04aa9014fe3f18936106a,BHK2,21-03-2017 14:31,2,0,4.0,SEMI_FURNISHED,0,12.95269577,77.7158739,FAMILY,1,Munnekollal,BOTH,6,1050,0,560066.0,25000,250000,AP
ff8081815067173201506a44fd570c85,BHK2,24-02-2017 11:30,1,1,2.0,NOT_FURNISHED,0,12.94835999,77.70780223,ANYONE,0,Munnekollal,TWO_WHEELER,4,600,0,560037.0,13000,50000,IF
ff808181513dca8e01513ef9498916bc,BHK1,05-02-2017 14:43,1,1,3.0,SEMI_FURNISHED,0,12.95034827,77.70306946,FAMILY,0,Munnekollal,BOTH,0,600,0,560037.0,11000,40000,IF
ff80818151ae83d50151af66b6d809e3,RK1,05-03-2017 18:54,1,1,3.0,NOT_FURNISHED,0,12.95223636,77.70713874,BACHELOR,0,Munnekollal,TWO_WHEELER,1,300,0,,4000,15000,
ff80818151b924d00151c3efc75c7077,BHK2,20-02-2017 16:08,2,3,3.0,SEMI_FURNISHED,0,12.95175062,77.70616411,FAMILY,0,Munnekollal,TWO_WHEELER,8,785,0,560037.0,11000,75000,AP
ff80818152796f4701527c6a9ad70ada,BHK2,07-02-2017 11:12,2,2,2.0,SEMI_FURNISHED,0,12.95170311,77.70620533,FAMILY,0,Munnekollal,TWO_WHEELER,1,1000,0,560037.0,16000,80000,IF
ff80818152ab67620152b5b0f2836069,BHK3,24-02-2017 16:04,3,1,4.0,SEMI_FURNISHED,1,12.95092282,77.7071567,FAMILY,1,Munnekollal,BOTH,0,1465,0,560037.0,25000,250000,AP
ff80818152f44dcb0152f48837a90642,BHK3,15-02-2017 13:03,3,4,4.0,SEMI_FURNISHED,0,12.95506092,77.71520942,ANYONE,1,Munnekollal,BOTH,1,1500,0,560037.0,45000,200000,IF
ff8081815322bf9401532cb8e9f67431,BHK2,03-03-2017 17:53,2,2,4.0,SEMI_FURNISHED,1,12.9499109,77.7117912,FAMILY,1,Munnekollal,BOTH,1,1085,0,560037.0,20000,140000,AP
ff808181536586d4015365c65eaa0544,BHK2,14-02-2017 18:55,2,2,2.0,SEMI_FURNISHED,0,12.94610442,77.71065204,FAMILY,0,Munnekollal,TWO_WHEELER,1,900,0,560037.0,14000,80000,IF
ff80818153c740160153c773b1070501,BHK3,18-03-2017 18:23,2,1,4.0,SEMI_FURNISHED,1,12.95083625,77.71558792,FAMILY,1,Munnekollal,BOTH,0,1150,0,560066.0,21000,210000,AP
ff80818153faf6f5015400e2cb5e5c98,BHK2,17-03-2017 16:28,2,4,4.0,SEMI_FURNISHED,0,12.94836584,77.71327864,ANYONE,0,Munnekollal,TWO_WHEELER,4,750,0,560037.0,14000,50000,IF
ff80818154239fec015424a115d01898,BHK2,09-03-2017 08:02,1,1,4.0,SEMI_FURNISHED,0,12.95165597,77.70136888,ANYONE,0,Munnekollal,BOTH,4,850,0,560037.0,7000,15000,AP
ff80818154c3cd9b0154c3dbc1ce015d,BHK1,25-03-2017 23:14,1,0,1.0,SEMI_FURNISHED,0,12.94837272,77.70834305,FAMILY,0,Munnekollal,TWO_WHEELER,10,650,0,560037.0,11000,40000,IF
ff808181553aec800155400baeea5449,BHK2,15-02-2017 18:24,2,0,4.0,SEMI_FURNISHED,1,12.95034307,77.71308452,FAMILY,1,Munnekollal,FOUR_WHEELER,0,1050,0,560037.0,20000,100000,AP
