property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff808081499ce9550149acffc4560a52,BHK2,22-02-2017 17:10,2,2,2.0,SEMI_FURNISHED,0,13.03016828,77.60791635,FAMILY,0,RT Nagar,TWO_WHEELER,12,1000,0,560032.0,14000,140000,IF
ff8081814c17ede2014c223aa114184e,BHK4,07-03-2017 16:57,4,2,3.0,SEMI_FURNISHED,0,13.03353759,77.59742533,ANYONE,0,RT Nagar,BOTH,8,1800,0,560032.0,25000,100000,IF
ff8081814c2dea94014c468f6d203d6c,BHK1,20-03-2017 17:38,1,3,3.0,SEMI_FURNISHED,0,13.02082966,77.59405379,FAMILY,0,RT Nagar,BOTH,0,600,0,560032.0,9000,50000,IF
ff8081814c58efc3014c5b4793a40916,BHK2,30-03-2017 17:19,2,1,2.0,SEMI_FURNISHED,0,13.02442883,77.59257539,FAMILY,0,RT Nagar,TWO_WHEELER,12,720,0,560032.0,10500,105000,IF
ff8081814cd15f41014cd181f0d400d3,BHK2,26-03-2017 12:28,2,0,2.0,SEMI_FURNISHED,0,13.01864167,77.59176284,ANYONE,0,RT Nagar,TWO_WHEELER,13,1200,0,560032.0,15000,150000,IF
ff8081814cf0d662014cff2b1f863ad6,BHK2,20-02-2017 20:56,2,3,3.0,SEMI_FURNISHED,1,13.0352687,77.595073,FAMILY,1,RT Nagar,BOTH,4,1234,1,560032.0,20000,200000,AP
ff8081814cff7251014d08b97c912477,BHK2,20-02-2017 09:23,2,1,2.0,SEMI_FURNISHED,0,13.02824068,77.58642691,FAMILY,0,RT Nagar,BOTH,5,900,0,560024.0,12000,120000,IF
ff8081814e0bf21b014e0c1a89a60141,RK1,05-02-2017 14:27,1,1,5.0,NOT_FURNISHED,0,13.0214343,77.59282198,BACHELOR,0,RT Nagar,TWO_WHEELER,10,350,0,560032.0,7000,40000,IF
ff8081814eacc4b7014eaf79a07f0713,BHK2,25-03-2017 17:47,2,2,,SEMI_FURNISHED,0,13.0216856,77.59261042,FAMILY,0,RT Nagar,BOTH,10,900,0,,13000,130000,
ff8081814ef4e7ef014ef6e44e5c0271,BHK2,18-03-2017 16:40,1,1,1.0,SEMI_FURNISHED,0,13.02452943,77.59266927,FAMILY,0,RT Nagar,TWO_WHEELER,3,1000,0,560032.0,14000,140000,IF
