property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8080814b5128f9014b6d694ddb1f63,BHK2,28-03-2017 19:12,2,0,4.0,SEMI_FURNISHED,1,12.9650526,77.75121307,FAMILY,1,Varthur,BOTH,2,1195,1,560066.0,23000,150000,AP
ff8081814d4b859b014d56f8cdef3a15,BHK2,23-02-2017 11:56,2,4,5.0,SEMI_FURNISHED,1,12.92792053,77.73870529,FAMILY,1,Varthur,BOTH,0,1445,0,560087.0,20000,200000,AP
ff80818150817505015083b2edf405f2,BHK2,22-03-2017 16:27,2,3,3.0,SEMI_FURNISHED,0,12.93481221,77.74462946,FAMILY,0,Varthur,TWO_WHEELER,3,800,0,560087.0,12500,50000,IF
ff80818150ced6660150d0b1676002bb,BHK2,13-03-2017 17:03,2,3,4.0,SEMI_FURNISHED,1,12.92378403,77.72993548,FAMILY,1,Varthur,BOTH,0,985,0,560087.0,13000,100000,AP
ff8081815115c85501511eb0ad753c16,BHK2,23-02-2017 12:36,1,0,3.0,SEMI_FURNISHED,0,12.93464162,77.75810022,ANYONE,0,Varthur,TWO_WHEELER,0,600,0,560087.0,8800,30000,IF
ff80818151264a0e01512eb3bab5491f,BHK2,20-03-2017 16:06,2,0,2.0,SEMI_FURNISHED,0,12.93803273,77.74711759,FAMILY,0,Varthur,TWO_WHEELER,2,900,0,560087.0,12000,50000,IF
ff80818151857529015190d7020672a8,BHK2,14-03-2017 17:49,1,3,3.0,SEMI_FURNISHED,0,12.93816033,77.74721871,FAMILY,0,Varthur,TWO_WHEELER,0,600,0,560087.0,9500,40000,IF
ff80818151c527320151c83c0bf50f50,BHK1,27-03-2017 16:45,1,1,2.0,SEMI_FURNISHED,0,12.94303528,77.74804242,FAMILY,0,Varthur,TWO_WHEELER,7,600,0,560087.0,8000,30000,IF
ff808181523f1db601523f85bfe006c0,BHK2,25-02-2017 16:34,2,1,5.0,SEMI_FURNISHED,0,12.93812945,77.74709479,FAMILY,0,Varthur,BOTH,1,800,0,560087.0,14000,140000,AP
ff808181525d149301525ee10b911371,RK1,25-02-2017 11:29,1,3,3.0,NOT_FURNISHED,0,12.94236447,77.74067781,FAMILY,0,Varthur,BOTH,1,250,0,560087.0,4000,20000,IF
ff808181525d97c601525edf669a0f19,BHK2,25-02-2017 11:28,2,2,2.0,SEMI_FURNISHED,0,12.94219152,77.74054929,FAMILY,0,Varthur,BOTH,1,900,0,560087.0,10000,30000,IF
ff80818152848305015287ec0f3a11d8,BHK1,29-03-2017 12:47,1,0,3.0,SEMI_FURNISHED,0,12.9400289,77.73779628,ANYONE,0,Varthur,TWO_WHEELER,2,600,0,560087.0,8000,50000,IF
ff80818152dddb9b0152e50e6e285c2a,BHK2,17-02-2017 13:01,2,0,1.0,SEMI_FURNISHED,0,12.94156444,77.74685953,FAMILY,0,Varthur,TWO_WHEELER,3,800,0,560087.0,11000,50000,IF
ff80818152ee78c80152eee30b000de9,BHK2,07-03-2017 16:40,1,2,3.0,SEMI_FURNISHED,0,12.94150677,77.75159283,ANYONE,0,Varthur,TWO_WHEELER,0,900,0,560087.0,10000,30000,IF
ff808181530918f701531b94c9474148,BHK3,13-02-2017 22:56,2,3,3.0,SEMI_FURNISHED,1,12.9415303,77.7506621,FAMILY,1,Varthur,FOUR_WHEELER,1,1570,1,560087.0,17500,100000,AP
ff8081815373f1fb01537e4cf9ad0b73,BHK2,09-03-2017 14:32,2,1,2.0,SEMI_FURNISHED,0,12.93130463,77.7592091,FAMILY,0,Varthur,BOTH,3,750,0,560087.0,9500,50000,IF
