property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bb10aa5014bb648367e0730,BHK2,07-03-2017 18:22,1,2,3.0,SEMI_FURNISHED,0,13.0881561,77.54618093,ANYONE,0,Vidyaranyapura,TWO_WHEELER,2,750,0,560097.0,6000,40000,IF
ff8081814d1016be014d12c5a51c0526,BHK2,08-03-2017 15:41,2,1,2.0,SEMI_FURNISHED,0,13.06233708,77.55672057,ANYONE,0,Vidyaranyapura,TWO_WHEELER,3,1000,0,560097.0,10000,100000,IF
ff8081814d6c3d8d014d703f7ef910f4,BHK2,10-02-2017 11:44,1,1,1.0,SEMI_FURNISHED,0,13.0686008,77.5581349,FAMILY,0,Vidyaranyapura,BOTH,9,900,0,560097.0,9000,100000,IF
ff8081814d76c9df014d802c94b53440,BHK3,10-02-2017 11:43,3,3,4.0,SEMI_FURNISHED,1,13.08603377,77.55602032,ANYONE,1,Vidyaranyapura,BOTH,0,1594,1,560097.0,18500,120000,AP
ff8081814d99f39c014d9de123ac15ac,BHK2,19-02-2017 12:40,2,1,2.0,SEMI_FURNISHED,0,13.07704488,77.55810873,FAMILY,0,Vidyaranyapura,BOTH,4,1200,0,560097.0,10500,100000,IF
ff8081814dd71182014dd7dd80000916,BHK2,09-03-2017 16:44,2,0,2.0,SEMI_FURNISHED,0,13.0741324,77.56436839,FAMILY,0,Vidyaranyapura,BOTH,7,950,0,560097.0,10000,100000,IF
ff8081814ed8e0b7014edf27312528ed,BHK3,14-03-2017 18:31,3,2,4.0,SEMI_FURNISHED,0,13.0857908,77.556098,FAMILY,1,Vidyaranyapura,BOTH,4,1450,1,560097.0,15000,150000,AP
ff8081814ef4e1d6014ef702e916035f,BHK1,28-03-2017 18:34,1,0,2.0,SEMI_FURNISHED,0,13.07996931,77.56193798,BACHELOR,0,Vidyaranyapura,BOTH,0,600,0,560097.0,5500,30000,IF
ff8081814f50c724014f5417beec0d13,BHK2,28-03-2017 18:46,2,2,4.0,SEMI_FURNISHED,0,13.08861732,77.55606842,FAMILY,1,Vidyaranyapura,BOTH,5,1200,0,560097.0,12000,120000,AP
ff8081814f5dc924014f5e757ede05c6,BHK2,13-03-2017 11:41,2,1,4.0,SEMI_FURNISHED,0,13.07362311,77.56299714,ANYONE,1,Vidyaranyapura,BOTH,0,910,0,560097.0,15000,90000,AP
ff8081814f7274d3014f7322bc63065b,BHK2,23-03-2017 15:16,1,1,2.0,SEMI_FURNISHED,0,13.08017773,77.55860956,ANYONE,0,Vidyaranyapura,TWO_WHEELER,0,750,0,560097.0,8000,50000,IF
ff8081814fb54552014fb5e64e3e048f,RK1,29-03-2017 14:43,1,3,4.0,NOT_FURNISHED,0,13.06768091,77.55967174,ANYONE,0,Vidyaranyapura,TWO_WHEELER,1,200,0,560097.0,5000,50000,IF
ff8081814fb63c61014fb69b209e038a,BHK2,30-03-2017 13:26,2,2,3.0,SEMI_FURNISHED,0,13.06984832,77.56429487,FAMILY,0,Vidyaranyapura,BOTH,1,1200,0,560097.0,10000,50000,IF
ff8081814fb63c61014fc0fb00754ada,BHK2,23-03-2017 22:47,2,1,5.0,FULLY_FURNISHED,1,13.10049,77.5474282,ANYONE,1,Vidyaranyapura,BOTH,1,1000,1,560090.0,13000,100000,AP
ff8081814ffe5b330150135c1ffd08e6,BHK1,12-03-2017 15:58,1,2,2.0,SEMI_FURNISHED,0,13.07551822,77.5587807,FAMILY,0,Vidyaranyapura,NONE,1,700,0,560097.0,7500,60000,IF
ff80818150a2a76b0150a3db5fe91237,BHK2,14-03-2017 11:16,2,1,4.0,SEMI_FURNISHED,0,13.08820171,77.55786674,ANYONE,0,Vidyaranyapura,TWO_WHEELER,1,1200,0,560097.0,9500,95000,AP
ff80818150b902bb0150bce83b301940,BHK1,21-03-2017 14:02,1,2,3.0,SEMI_FURNISHED,0,13.07805705,77.55991232,ANYONE,0,Vidyaranyapura,TWO_WHEELER,1,450,0,560097.0,5500,40000,IF
ff80818150dc3d890150e084df771fdc,BHK2,07-03-2017 16:33,2,1,3.0,SEMI_FURNISHED,0,13.0731742,77.55272115,ANYONE,0,Vidyaranyapura,TWO_WHEELER,1,900,0,560097.0,14000,70000,IF
