property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff80818152a65ff90152a6659ceb0033,BHK1,19-02-2017 18:10,1,0,1.0,NOT_FURNISHED,0,12.95606852,77.5369301,ANYONE,0,Vijaya Nagar,TWO_WHEELER,8,425,0,560104.0,6000,75000,IF
ff80818154392d5301543963b7ab0351,RK1,05-02-2017 09:36,1,0,2.0,SEMI_FURNISHED,0,12.96571904,77.52313578,COMPANY,0,Vijaya Nagar,NONE,0,150,0,560072.0,3500,35000,IF
ff80818154d22f410154d338424120bc,BHK2,15-02-2017 21:51,2,0,1.0,SEMI_FURNISHED,0,12.97556551,77.53168699,FAMILY,0,Vijaya Nagar,TWO_WHEELER,5,500,0,560040.0,10000,100000,IF
ff80818154d230860154d2b8c0b5106b,BHK2,10-02-2017 12:27,2,1,2.0,SEMI_FURNISHED,0,12.96224459,77.52114223,ANYONE,0,Vijaya Nagar,TWO_WHEELER,7,1240,0,560072.0,15000,130000,IF
ff80818154ebedc90154ec778d040d2a,BHK2,27-03-2017 15:49,1,0,2.0,SEMI_FURNISHED,0,12.96483481,77.53797797,FAMILY,0,Vijaya Nagar,BOTH,15,800,0,560104.0,15000,150000,IF
ff80818155879b3f01558c7df4bc7bac,BHK3,15-02-2017 21:47,3,2,2.0,SEMI_FURNISHED,0,12.97207739,77.52805663,FAMILY,0,Vijaya Nagar,TWO_WHEELER,0,1100,0,560040.0,12000,75000,IF
ff808181562c9a6601563033330831f1,BHK1,15-02-2017 21:42,1,2,2.0,NOT_FURNISHED,0,12.97120046,77.52510217,FAMILY,0,Vijaya Nagar,TWO_WHEELER,6,500,0,560072.0,8000,75000,IF
ff80818156bd22db0156bff4783a1b24,BHK3,03-02-2017 15:07,3,1,1.0,SEMI_FURNISHED,0,12.96804144,77.523541,FAMILY,0,Vijaya Nagar,BOTH,4,1100,0,560072.0,15000,150000,IF
ff80818156ebd39a0156eed38c3732d7,BHK1,15-03-2017 18:56,1,0,1.0,SEMI_FURNISHED,0,12.96192206,77.5409709,FAMILY,0,Vijaya Nagar,TWO_WHEELER,9,600,0,560104.0,10000,100000,IF
ff80818158e4eca20158e81354f151ab,BHK1,20-03-2017 18:51,1,3,3.0,NOT_FURNISHED,0,12.97973689,77.52928917,ANYONE,0,Vijaya Nagar,TWO_WHEELER,8,400,0,560079.0,5000,50000,IF
ff8081815925425d015925fda6ed2c57,BHK2,26-03-2017 18:30,2,1,2.0,SEMI_FURNISHED,0,12.96800639,77.52345733,FAMILY,0,Vijaya Nagar,BOTH,20,1800,0,560072.0,20000,200000,IF
ff808181595e039201595e18eecf06cd,BHK3,20-02-2017 10:20,2,2,2.0,SEMI_FURNISHED,0,12.96847552,77.52717858,ANYONE,0,Vijaya Nagar,TWO_WHEELER,10,1100,0,560040.0,16000,160000,IF
ff808181598c3d2a01598c82e4b62496,BHK2,26-02-2017 14:37,1,2,3.0,SEMI_FURNISHED,0,12.9719161,77.5298856,FAMILY,0,Vijaya Nagar,TWO_WHEELER,8,800,0,560040.0,12000,120000,IF
ff808181598ca15e01598cf6fa031ebd,BHK2,26-02-2017 16:41,2,1,2.0,SEMI_FURNISHED,0,12.97052877,77.53681541,ANYONE,0,Vijaya Nagar,BOTH,5,1400,0,560040.0,25000,285000,IF
ff808181599716da0159a105ac380bf3,BHK3,23-03-2017 13:27,2,4,4.0,SEMI_FURNISHED,0,12.96813153,77.53594202,FAMILY,1,Vijaya Nagar,BOTH,8,1300,0,560040.0,18000,200000,AP
ff80818159b44e8a0159b5859ea2134f,BHK1,17-03-2017 18:09,1,1,1.0,SEMI_FURNISHED,0,12.97521269,77.54163597,FAMILY,0,Vijaya Nagar,TWO_WHEELER,35,1000,0,560040.0,10000,100000,IF
ff80818159e5244b0159e528f1580144,BHK2,12-02-2017 16:43,2,2,2.0,SEMI_FURNISHED,0,12.96005483,77.53375569,ANYONE,0,Vijaya Nagar,BOTH,0,1000,0,560040.0,9000,100000,IF
ff80818159f48de30159f7c65a652a8c,BHK2,04-02-2017 16:56,1,1,2.0,NOT_FURNISHED,0,12.97941123,77.53878945,FAMILY,0,Vijaya Nagar,BOTH,8,900,0,,15000,150000,IF
ff80818159fa0f0f0159fcfe433c4e47,BHK2,02-02-2017 09:37,2,1,4.0,SEMI_FURNISHED,0,12.97862191,77.54045988,ANYONE,0,Vijaya Nagar,TWO_WHEELER,15,1000,0,560040.0,12000,100000,IF
ff80818159fa0f0f0159fd9cb7b9517d,BHK1,04-02-2017 10:25,1,1,2.0,NOT_FURNISHED,0,12.97368221,77.53611398,FAMILY,0,Vijaya Nagar,TWO_WHEELER,10,400,0,560040.0,4000,40000,IF
ff80818159fa0f0f0159fed8a9927fe3,BHK3,02-02-2017 19:52,3,2,2.0,SEMI_FURNISHED,0,12.96494982,77.53806514,FAMILY,0,Vijaya Nagar,TWO_WHEELER,1,1200,0,560104.0,18000,200000,IF
ff80818159fa0f0f0159ff135ca6380d,BHK1,02-02-2017 20:44,1,0,2.0,NOT_FURNISHED,0,12.96245399,77.53598987,FAMILY,0,Vijaya Nagar,TWO_WHEELER,6,500,0,560104.0,8500,85000,IF
ff80818159fa0f0f015a02a6d6f96048,RK1,03-02-2017 17:13,1,0,4.0,SEMI_FURNISHED,0,12.95255838,77.53663303,BACHELOR,1,Vijaya Nagar,TWO_WHEELER,0,400,0,560026.0,11000,100000,IF
ff80818159fa0f0f015a02c469920d4f,BHK1,03-02-2017 17:32,1,0,0.0,NOT_FURNISHED,0,12.96901207,77.53007173,ANYONE,0,Vijaya Nagar,NONE,20,600,0,560104.0,9000,80000,IH
ff80818159fa0f0f015a033160ab20ab,BHK2,03-02-2017 17:07,1,1,1.0,SEMI_FURNISHED,0,12.96650493,77.54135097,FAMILY,0,Vijaya Nagar,BOTH,2,800,0,560104.0,15000,150000,IF
ff80818159fa0f0f015a0337b60e2a40,BHK1,03-02-2017 17:04,1,2,2.0,NOT_FURNISHED,0,12.96592133,77.54250434,FAMILY,0,Vijaya Nagar,TWO_WHEELER,1,450,0,560104.0,9500,95000,IF
ff80818159fa0f0f015a034bc80848ec,BHK2,03-02-2017 16:52,2,2,2.0,SEMI_FURNISHED,0,12.96602849,77.54228574,ANYONE,0,Vijaya Nagar,TWO_WHEELER,0,800,0,560104.0,15000,150000,IF
ff80818159fa0f0f015a0355971457d5,BHK3,03-02-2017 16:49,2,2,2.0,SEMI_FURNISHED,0,12.97065768,77.53548366,FAMILY,1,Vijaya Nagar,BOTH,7,1300,0,560040.0,17000,170000,AP
ff8081815a03bdcb015a076c632c3724,RK1,04-02-2017 11:27,1,3,3.0,SEMI_FURNISHED,0,12.97927292,77.54048338,ANYONE,0,Vijaya Nagar,TWO_WHEELER,3,300,0,560079.0,6000,60000,IF
ff8081815a08262d015a0c9ba71316c8,BHK2,22-03-2017 17:05,2,1,1.0,SEMI_FURNISHED,0,12.96838331,77.5369976,FAMILY,0,Vijaya Nagar,BOTH,20,1000,0,560104.0,18000,200000,IF
ff8081815a0d0db9015a0da0dc697d18,BHK2,05-02-2017 15:13,2,3,3.0,SEMI_FURNISHED,0,12.96750341,77.54146472,FAMILY,0,Vijaya Nagar,FOUR_WHEELER,6,800,0,560040.0,18000,200000,IF
ff8081815a0d0db9015a0da0fc607d59,BHK1,05-02-2017 15:12,1,1,2.0,NOT_FURNISHED,0,12.96860335,77.53399101,FAMILY,0,Vijaya Nagar,TWO_WHEELER,0,400,0,560040.0,7000,60000,IF
ff8081815a0d0db9015a0db48e1a1d65,BHK3,05-02-2017 19:52,3,2,2.0,SEMI_FURNISHED,0,12.96502735,77.54344907,FAMILY,0,Vijaya Nagar,FOUR_WHEELER,6,1200,0,560104.0,22000,220000,IF
ff8081815a0de8ea015a0dfb70ec1e85,BHK2,05-02-2017 16:52,2,1,1.0,SEMI_FURNISHED,0,12.95902398,77.51763632,FAMILY,0,Vijaya Nagar,TWO_WHEELER,0,1200,0,560072.0,14000,140000,IF
ff8081815a0dea59015a0f26af04075c,BHK4,07-02-2017 18:04,3,2,2.0,SEMI_FURNISHED,0,12.980406,77.53665015,FAMILY,0,Vijaya Nagar,BOTH,10,1800,0,560040.0,30000,300000,IH
ff8081815a12f24b015a16cbab5c4716,BHK2,07-02-2017 10:45,1,1,2.0,SEMI_FURNISHED,0,12.98136316,77.53470849,ANYONE,0,Vijaya Nagar,TWO_WHEELER,2,1200,0,560079.0,10000,100000,IF
ff8081815a12f24b015a171bb7181e2e,BHK1,07-02-2017 12:13,1,1,2.0,NOT_FURNISHED,0,12.96499336,77.53890087,FAMILY,0,Vijaya Nagar,NONE,10,400,0,560104.0,7500,50000,IF
